"Time","Mean","Lower95","Upper95","Rt"
0,4.6852,0.9695,8.9089,3.14653846153846
1,4.6852,0.9695,8.9089,NA
2,4.6852,0.9695,8.9089,3.14622377622378
3,4.6523,2.1027,7.6566,3.14575174825175
4,4.6523,2.1027,7.6566,3.14527972027972
5,4.6523,2.1027,7.6566,3.14407342657343
6,4.6523,2.1027,7.6566,3.1431555944056
7,4.6523,2.1027,7.6566,3.14166083916084
8,4.0436,2.0886,6.3625,3.1388548951049
9,4.0436,2.0886,6.3625,3.13522830111065
10,4.0436,2.0886,6.3625,3.13057692307692
11,4.0436,2.0886,6.3625,3.12343156843157
12,4.0436,2.0886,6.3625,3.11079767689937
13,3.3259,1.5328,5.496,3.09396180742335
14,3.3259,1.5328,5.496,3.07515797455557
15,3.3259,1.5328,5.496,3.05258281192492
16,3.3259,1.5328,5.496,3.01989798436857
17,3.3259,1.5328,5.496,2.97304022423857
18,2.5166,0.8822,4.4369,2.91362075424575
19,2.5166,0.8822,4.4369,2.84003337971852
20,2.5166,0.8822,4.4369,2.74948731223219
21,2.5166,0.8822,4.4369,2.64028831612011
22,2.5166,0.8822,4.4369,2.50136353787058
23,1.4752,0.2114,2.7523,2.34085861718926
24,1.4752,0.2114,2.7523,2.1744681891535
25,1.4752,0.2114,2.7523,1.98859995253951
26,1.4752,0.2114,2.7523,1.80194996492869
27,1.4752,0.2114,2.7523,1.61624440595825
28,0.556,5.0142e-06,1.3935,1.43783151428011
29,0.556,5.0142e-06,1.3935,1.27928471417348
30,0.556,5.0142e-06,1.3935,1.12382752116305
31,0.556,5.0142e-06,1.3935,0.978995793329867
32,0.556,5.0142e-06,1.3935,0.854732843283391
33,0.3436,5.3524e-06,0.9441,0.754629888268157
34,0.3436,5.3524e-06,0.9441,0.671071615510238
35,0.3436,5.3524e-06,0.9441,0.602846674601994
36,0.3436,5.3524e-06,0.9441,0.541763067441034
37,0.3436,5.3524e-06,0.9441,0.488871882834147
38,0.4932,8.8849e-06,1.3063,0.444867547031556
39,0.4932,8.8849e-06,1.3063,0.40968
40,0.4932,8.8849e-06,1.3063,0.382687050711526
41,0.4932,8.8849e-06,1.3063,0.364176938169744
42,0.4932,8.8849e-06,1.3063,0.345408473879062
43,0.5528,4.4984e-07,1.4554,0.326182771773681
44,0.5528,4.4984e-07,1.4554,0.309653846153846
45,0.5528,4.4984e-07,1.4554,0.297286005134106
46,0.5528,4.4984e-07,1.4554,0.287201434928708
47,0.5528,4.4984e-07,1.4554,0.27713144963145
48,0.3845,1.0777e-06,1.0846,0.268535085604051
49,0.3845,1.0777e-06,1.0846,0.261283216783217
50,0.3845,1.0777e-06,1.0846,0.255730380730381
51,0.3845,1.0777e-06,1.0846,0.247242805271651
52,0.3845,1.0777e-06,1.0846,0.241815996503496
53,0.4957,1.3921e-06,1.3718,0.237011988011988
54,0.4957,1.3921e-06,1.3718,0.23216047110784
55,0.4957,1.3921e-06,1.3718,0.229898403483309
56,0.4957,1.3921e-06,1.3718,0.227297934623516
57,0.4957,1.3921e-06,1.3718,0.225327025915261
58,0.8511,2.6169e-05,2.2242,0.2229995004995
59,0.8511,2.6169e-05,2.2242,0.221908679555739
60,0.8511,2.6169e-05,2.2242,0.221097902097902
61,0.8511,2.6169e-05,2.2242,0.220174825174825
62,0.8511,2.6169e-05,2.2242,0.218855355171145
63,2.55,5.4504e-05,5.3209,0.217207792207792
64,2.55,5.4504e-05,5.3209,0.216116191500807
65,2.55,5.4504e-05,5.3209,0.215769230769231
66,2.55,5.4504e-05,5.3209,0.214712210866057
67,2.55,5.4504e-05,5.3209,0.213933566433567
68,NA,NA,NA,0.213415646853147
69,NA,NA,NA,0.212872512103281
70,NA,NA,NA,0.211818181818182
71,NA,NA,NA,0.211468531468532
72,NA,NA,NA,0.211468531468532
73,NA,NA,NA,0.211468531468532
74,NA,NA,NA,0.211468531468532
75,NA,NA,NA,0.211468531468531
76,NA,NA,NA,0.211363636363637
77,NA,NA,NA,0.211153846153846
78,NA,NA,NA,0.211153846153846
79,NA,NA,NA,0.211153846153846
81,NA,NA,NA,0.210996503496504
82,NA,NA,NA,0.210839160839161
83,NA,NA,NA,0.210524475524476
84,NA,NA,NA,0.210367132867133
85,NA,NA,NA,0.209895104895105
87,NA,NA,NA,0.209895104895105
89,NA,NA,NA,0.209895104895105
90,NA,NA,NA,0.20958041958042
91,NA,NA,NA,0.20958041958042
93,NA,NA,NA,0.20958041958042
95,NA,NA,NA,0.20958041958042
101,NA,NA,NA,NA
