"Time","Mean","Lower95","Upper95","Rt","Scenario"
0,4.6852,0.9695,8.9089,3.14653846153846,"Baseline"
1,4.6852,0.9695,8.9089,NA,"Baseline"
2,4.6852,0.9695,8.9089,3.14622377622378,"Baseline"
3,4.6523,2.1027,7.6566,3.14575174825175,"Baseline"
4,4.6523,2.1027,7.6566,3.14527972027972,"Baseline"
5,4.6523,2.1027,7.6566,3.14407342657343,"Baseline"
6,4.6523,2.1027,7.6566,3.1431555944056,"Baseline"
7,4.6523,2.1027,7.6566,3.14166083916084,"Baseline"
8,4.0436,2.0886,6.3625,3.1388548951049,"Baseline"
9,4.0436,2.0886,6.3625,3.13522830111065,"Baseline"
10,4.0436,2.0886,6.3625,3.13057692307692,"Baseline"
11,4.0436,2.0886,6.3625,3.12343156843157,"Baseline"
12,4.0436,2.0886,6.3625,3.11079767689937,"Baseline"
13,3.3259,1.5328,5.496,3.09396180742335,"Baseline"
14,3.3259,1.5328,5.496,3.07515797455557,"Baseline"
15,3.3259,1.5328,5.496,3.05258281192492,"Baseline"
16,3.3259,1.5328,5.496,3.01989798436857,"Baseline"
17,3.3259,1.5328,5.496,2.97304022423857,"Baseline"
18,2.5166,0.8822,4.4369,2.91362075424575,"Baseline"
19,2.5166,0.8822,4.4369,2.84003337971852,"Baseline"
20,2.5166,0.8822,4.4369,2.74948731223219,"Baseline"
21,2.5166,0.8822,4.4369,2.64028831612011,"Baseline"
22,2.5166,0.8822,4.4369,2.50136353787058,"Baseline"
23,1.4752,0.2114,2.7523,2.34085861718926,"Baseline"
24,1.4752,0.2114,2.7523,2.1744681891535,"Baseline"
25,1.4752,0.2114,2.7523,1.98859995253951,"Baseline"
26,1.4752,0.2114,2.7523,1.80194996492869,"Baseline"
27,1.4752,0.2114,2.7523,1.61624440595825,"Baseline"
28,0.556,5.0142e-06,1.3935,1.43783151428011,"Baseline"
29,0.556,5.0142e-06,1.3935,1.27928471417348,"Baseline"
30,0.556,5.0142e-06,1.3935,1.12382752116305,"Baseline"
31,0.556,5.0142e-06,1.3935,0.978995793329867,"Baseline"
32,0.556,5.0142e-06,1.3935,0.854732843283391,"Baseline"
33,0.3436,5.3524e-06,0.9441,0.754629888268157,"Baseline"
34,0.3436,5.3524e-06,0.9441,0.671071615510238,"Baseline"
35,0.3436,5.3524e-06,0.9441,0.602846674601994,"Baseline"
36,0.3436,5.3524e-06,0.9441,0.541763067441034,"Baseline"
37,0.3436,5.3524e-06,0.9441,0.488871882834147,"Baseline"
38,0.4932,8.8849e-06,1.3063,0.444867547031556,"Baseline"
39,0.4932,8.8849e-06,1.3063,0.40968,"Baseline"
40,0.4932,8.8849e-06,1.3063,0.382687050711526,"Baseline"
41,0.4932,8.8849e-06,1.3063,0.364176938169744,"Baseline"
42,0.4932,8.8849e-06,1.3063,0.345408473879062,"Baseline"
43,0.5528,4.4984e-07,1.4554,0.326182771773681,"Baseline"
44,0.5528,4.4984e-07,1.4554,0.309653846153846,"Baseline"
45,0.5528,4.4984e-07,1.4554,0.297286005134106,"Baseline"
46,0.5528,4.4984e-07,1.4554,0.287201434928708,"Baseline"
47,0.5528,4.4984e-07,1.4554,0.27713144963145,"Baseline"
48,0.3845,1.0777e-06,1.0846,0.268535085604051,"Baseline"
49,0.3845,1.0777e-06,1.0846,0.261283216783217,"Baseline"
50,0.3845,1.0777e-06,1.0846,0.255730380730381,"Baseline"
51,0.3845,1.0777e-06,1.0846,0.247242805271651,"Baseline"
52,0.3845,1.0777e-06,1.0846,0.241815996503496,"Baseline"
53,0.4957,1.3921e-06,1.3718,0.237011988011988,"Baseline"
54,0.4957,1.3921e-06,1.3718,0.23216047110784,"Baseline"
55,0.4957,1.3921e-06,1.3718,0.229898403483309,"Baseline"
56,0.4957,1.3921e-06,1.3718,0.227297934623516,"Baseline"
57,0.4957,1.3921e-06,1.3718,0.225327025915261,"Baseline"
58,0.8511,2.6169e-05,2.2242,0.2229995004995,"Baseline"
59,0.8511,2.6169e-05,2.2242,0.221908679555739,"Baseline"
60,0.8511,2.6169e-05,2.2242,0.221097902097902,"Baseline"
61,0.8511,2.6169e-05,2.2242,0.220174825174825,"Baseline"
62,0.8511,2.6169e-05,2.2242,0.218855355171145,"Baseline"
63,2.55,5.4504e-05,5.3209,0.217207792207792,"Baseline"
64,2.55,5.4504e-05,5.3209,0.216116191500807,"Baseline"
65,2.55,5.4504e-05,5.3209,0.215769230769231,"Baseline"
66,2.55,5.4504e-05,5.3209,0.214712210866057,"Baseline"
67,2.55,5.4504e-05,5.3209,0.213933566433567,"Baseline"
68,NA,NA,NA,0.213415646853147,"Baseline"
69,NA,NA,NA,0.212872512103281,"Baseline"
70,NA,NA,NA,0.211818181818182,"Baseline"
71,NA,NA,NA,0.211468531468532,"Baseline"
72,NA,NA,NA,0.211468531468532,"Baseline"
73,NA,NA,NA,0.211468531468532,"Baseline"
74,NA,NA,NA,0.211468531468532,"Baseline"
75,NA,NA,NA,0.211468531468531,"Baseline"
76,NA,NA,NA,0.211363636363637,"Baseline"
77,NA,NA,NA,0.211153846153846,"Baseline"
78,NA,NA,NA,0.211153846153846,"Baseline"
79,NA,NA,NA,0.211153846153846,"Baseline"
81,NA,NA,NA,0.210996503496504,"Baseline"
82,NA,NA,NA,0.210839160839161,"Baseline"
83,NA,NA,NA,0.210524475524476,"Baseline"
84,NA,NA,NA,0.210367132867133,"Baseline"
85,NA,NA,NA,0.209895104895105,"Baseline"
87,NA,NA,NA,0.209895104895105,"Baseline"
89,NA,NA,NA,0.209895104895105,"Baseline"
90,NA,NA,NA,0.20958041958042,"Baseline"
91,NA,NA,NA,0.20958041958042,"Baseline"
93,NA,NA,NA,0.20958041958042,"Baseline"
95,NA,NA,NA,0.20958041958042,"Baseline"
101,NA,NA,NA,NA,"Baseline"
1,2.3111,0.4529,4.4817,NA,"Sampling"
2,2.7664,1.8173,3.8989,NA,"Sampling"
3,2.7664,1.8173,3.8989,NA,"Sampling"
4,2.7664,1.8173,3.8989,3.14564685314686,"Sampling"
5,2.7664,1.8173,3.8989,3.14449300699301,"Sampling"
6,2.7664,1.8173,3.8989,3.14318181818182,"Sampling"
7,2.1593,1.4696,2.9212,3.14077972027972,"Sampling"
8,2.1593,1.4696,2.9212,3.13841958041958,"Sampling"
9,2.1593,1.4696,2.9212,3.13531468531469,"Sampling"
10,2.1593,1.4696,2.9212,3.12868469765529,"Sampling"
11,2.1593,1.4696,2.9212,3.11994005994006,"Sampling"
12,2.616,1.6751,3.7204,3.10972633136095,"Sampling"
13,2.616,1.6751,3.7204,3.09284885568976,"Sampling"
14,2.616,1.6751,3.7204,3.0726948661095,"Sampling"
15,2.616,1.6751,3.7204,3.04802329026905,"Sampling"
16,2.616,1.6751,3.7204,3.0161740182894,"Sampling"
17,1.1046,0.2301,2.0377,2.97287832167832,"Sampling"
18,1.1046,0.2301,2.0377,2.912653360874,"Sampling"
19,1.1046,0.2301,2.0377,2.83071947283486,"Sampling"
20,1.1046,0.2301,2.0377,2.72489932708801,"Sampling"
21,1.1046,0.2301,2.0377,2.60068466696254,"Sampling"
22,2.0967,0.989,3.2539,2.46361480984769,"Sampling"
23,2.0967,0.989,3.2539,2.3025206727579,"Sampling"
24,2.0967,0.989,3.2539,2.11477910190246,"Sampling"
25,2.0967,0.989,3.2539,1.91555101857669,"Sampling"
26,2.0967,0.989,3.2539,1.70578078443296,"Sampling"
27,0.7296,0.0987,1.3748,1.50559813972435,"Sampling"
28,0.7296,0.0987,1.3748,1.3196973518285,"Sampling"
29,0.7296,0.0987,1.3748,1.1388176013176,"Sampling"
30,0.7296,0.0987,1.3748,0.979760960193653,"Sampling"
31,0.7296,0.0987,1.3748,0.836866136959016,"Sampling"
32,0.3642,1.7993e-06,0.7931,0.718571279756513,"Sampling"
33,0.3642,1.7993e-06,0.7931,0.623668862258074,"Sampling"
34,0.3642,1.7993e-06,0.7931,0.543685888244248,"Sampling"
35,0.3642,1.7993e-06,0.7931,0.481666162557166,"Sampling"
36,0.3642,1.7993e-06,0.7931,0.426494195459713,"Sampling"
37,0.4807,0.0424,0.9441,0.382908140517201,"Sampling"
38,0.4807,0.0424,0.9441,0.348979807175073,"Sampling"
39,0.4807,0.0424,0.9441,0.322139557481243,"Sampling"
40,0.4807,0.0424,0.9441,0.300742460664336,"Sampling"
41,0.4807,0.0424,0.9441,0.281113360323887,"Sampling"
42,0.9698,0.113,1.6818,0.263620906532492,"Sampling"
43,0.9698,0.113,1.6818,0.247529708054184,"Sampling"
44,0.9698,0.113,1.6818,0.236682047460736,"Sampling"
45,0.9698,0.113,1.6818,0.226677317897414,"Sampling"
46,0.9698,0.113,1.6818,0.21700666520979,"Sampling"
47,0.5731,1.2461e-05,1.2659,0.209202464202464,"Sampling"
48,0.5731,1.2461e-05,1.2659,0.201783889187735,"Sampling"
49,0.5731,1.2461e-05,1.2659,0.194019773330118,"Sampling"
50,0.5731,1.2461e-05,1.2659,0.189596557288865,"Sampling"
51,0.5731,1.2461e-05,1.2659,0.183451704545455,"Sampling"
52,0.4998,1.407e-05,1.1903,0.178224053174548,"Sampling"
53,0.4998,1.407e-05,1.1903,0.175534781008465,"Sampling"
54,0.4998,1.407e-05,1.1903,0.171968262506724,"Sampling"
55,0.4998,1.407e-05,1.1903,0.16843785247011,"Sampling"
56,0.4998,1.407e-05,1.1903,0.166378621378621,"Sampling"
57,0.3741,1.9261e-06,1.0121,0.164734793508378,"Sampling"
58,0.3741,1.9261e-06,1.0121,0.163063186813187,"Sampling"
59,0.3741,1.9261e-06,1.0121,0.162083916083916,"Sampling"
60,0.3741,1.9261e-06,1.0121,0.160961538461538,"Sampling"
61,0.3741,1.9261e-06,1.0121,0.159869675778767,"Sampling"
62,0.7205,3.3439e-06,1.7338,0.159260270979021,"Sampling"
63,0.7205,3.3439e-06,1.7338,0.158146853146853,"Sampling"
64,0.7205,3.3439e-06,1.7338,0.157972027972028,"Sampling"
65,0.7205,3.3439e-06,1.7338,0.157972027972028,"Sampling"
66,0.7205,3.3439e-06,1.7338,0.157792207792208,"Sampling"
67,0.7306,1.3574e-05,1.8958,0.157447552447552,"Sampling"
68,0.7306,1.3574e-05,1.8958,0.15729020979021,"Sampling"
69,0.7306,1.3574e-05,1.8958,0.156803196803197,"Sampling"
70,0.7306,1.3574e-05,1.8958,0.156513032422123,"Sampling"
71,0.7306,1.3574e-05,1.8958,0.156398601398601,"Sampling"
72,2.3378,3.4677e-05,4.2629,0.156398601398601,"Sampling"
73,2.3378,3.4677e-05,4.2629,0.156241258741258,"Sampling"
74,2.3378,3.4677e-05,4.2629,0.155874125874126,"Sampling"
75,2.3378,3.4677e-05,4.2629,0.155769230769231,"Sampling"
76,2.3378,3.4677e-05,4.2629,0.15558941058941,"Sampling"
77,NA,NA,NA,0.155454545454545,"Sampling"
78,NA,NA,NA,0.155454545454545,"Sampling"
79,NA,NA,NA,0.155454545454545,"Sampling"
81,NA,NA,NA,0.155454545454545,"Sampling"
82,NA,NA,NA,0.15513986013986,"Sampling"
83,NA,NA,NA,0.15513986013986,"Sampling"
84,NA,NA,NA,0.15513986013986,"Sampling"
85,NA,NA,NA,0.15513986013986,"Sampling"
87,NA,NA,NA,0.15513986013986,"Sampling"
89,NA,NA,NA,0.15513986013986,"Sampling"
94,NA,NA,NA,NA,"Sampling"
1,4.0125,2.8742,5.1876,NA,"Transmission"
2,4.0125,2.8742,5.1876,NA,"Transmission"
3,4.0125,2.8742,5.1876,3.14622377622378,"Transmission"
4,4.0125,2.8742,5.1876,NA,"Transmission"
5,4.0125,2.8742,5.1876,3.14559440559441,"Transmission"
6,4.0125,2.8742,5.1876,3.14465034965035,"Transmission"
7,4.0125,2.8742,5.1876,3.14291958041958,"Transmission"
8,4.0125,2.8742,5.1876,3.141,"Transmission"
9,4.0125,2.8742,5.1876,3.13948951048951,"Transmission"
10,4.0125,2.8742,5.1876,3.13749125874126,"Transmission"
11,4.0125,2.8742,5.1876,3.13481118881119,"Transmission"
12,4.0125,2.8742,5.1876,3.13133916083916,"Transmission"
13,4.0125,2.8742,5.1876,3.12616783216783,"Transmission"
14,3.1736,2.4391,3.9224,3.12020172135557,"Transmission"
15,3.1736,2.4391,3.9224,3.1118041958042,"Transmission"
16,3.1736,2.4391,3.9224,3.10142045454546,"Transmission"
17,3.1736,2.4391,3.9224,3.08617441382147,"Transmission"
18,3.1736,2.4391,3.9224,3.06449939483593,"Transmission"
19,3.1736,2.4391,3.9224,3.0378040380672,"Transmission"
20,3.1736,2.4391,3.9224,3.00687123922589,"Transmission"
21,3.1736,2.4391,3.9224,2.96578321678322,"Transmission"
22,3.1736,2.4391,3.9224,2.91556664709337,"Transmission"
23,3.1736,2.4391,3.9224,2.85236840330088,"Transmission"
24,0.901,0.3632,1.432,2.77000163770656,"Transmission"
25,0.901,0.3632,1.432,2.67348988848989,"Transmission"
