"Time","Mean","Lower95","Upper95","Rt"
1,4.0125,2.8742,5.1876,NA
2,4.0125,2.8742,5.1876,NA
3,4.0125,2.8742,5.1876,3.14622377622378
4,4.0125,2.8742,5.1876,NA
5,4.0125,2.8742,5.1876,3.14559440559441
6,4.0125,2.8742,5.1876,3.14465034965035
7,4.0125,2.8742,5.1876,3.14291958041958
8,4.0125,2.8742,5.1876,3.141
9,4.0125,2.8742,5.1876,3.13948951048951
10,4.0125,2.8742,5.1876,3.13749125874126
11,4.0125,2.8742,5.1876,3.13481118881119
12,4.0125,2.8742,5.1876,3.13133916083916
13,4.0125,2.8742,5.1876,3.12616783216783
14,3.1736,2.4391,3.9224,3.12020172135557
15,3.1736,2.4391,3.9224,3.1118041958042
16,3.1736,2.4391,3.9224,3.10142045454546
17,3.1736,2.4391,3.9224,3.08617441382147
18,3.1736,2.4391,3.9224,3.06449939483593
19,3.1736,2.4391,3.9224,3.0378040380672
20,3.1736,2.4391,3.9224,3.00687123922589
21,3.1736,2.4391,3.9224,2.96578321678322
22,3.1736,2.4391,3.9224,2.91556664709337
23,3.1736,2.4391,3.9224,2.85236840330088
24,0.901,0.3632,1.432,2.77000163770656
25,0.901,0.3632,1.432,2.67348988848989
26,0.901,0.3632,1.432,2.55878063683889
27,0.901,0.3632,1.432,2.42876188597987
28,0.901,0.3632,1.432,2.28173477125284
29,0.901,0.3632,1.432,2.12066580960024
30,0.901,0.3632,1.432,1.94884421134421
31,0.901,0.3632,1.432,1.77723147514946
32,0.901,0.3632,1.432,1.62093130749847
33,0.901,0.3632,1.432,1.45902856966216
34,0.4275,0.074,0.8281,1.30411529403239
35,0.4275,0.074,0.8281,1.16238487927167
36,0.4275,0.074,0.8281,1.03657823092938
37,0.4275,0.074,0.8281,0.928983779378516
38,0.4275,0.074,0.8281,0.838036186187619
39,0.4275,0.074,0.8281,0.766952858034552
40,0.4275,0.074,0.8281,0.713673045704296
41,0.4275,0.074,0.8281,0.663932193460989
42,0.4275,0.074,0.8281,0.623074278662514
43,0.4275,0.074,0.8281,0.587854047792698
44,0.3148,3.2354e-06,0.8118,0.5669516534546
45,0.3148,3.2354e-06,0.8118,0.556809917355372
46,0.3148,3.2354e-06,0.8118,0.542229150160185
47,0.3148,3.2354e-06,0.8118,0.531614616837169
48,0.3148,3.2354e-06,0.8118,0.528986013986014
49,0.3148,3.2354e-06,0.8118,0.529275980816766
50,0.3148,3.2354e-06,0.8118,0.52939627039627
51,0.3148,3.2354e-06,0.8118,0.536046289350788
52,0.3148,3.2354e-06,0.8118,0.542330910196523
53,0.3148,3.2354e-06,0.8118,0.550084855855607
54,0.2103,7.5205e-06,0.5896,0.558993413225778
55,0.2103,7.5205e-06,0.5896,0.570697217675941
56,0.2103,7.5205e-06,0.5896,0.578025235633931
57,0.2103,7.5205e-06,0.5896,0.590882517482518
58,0.2103,7.5205e-06,0.5896,0.59780480389176
59,0.2103,7.5205e-06,0.5896,0.606768014594102
60,0.2103,7.5205e-06,0.5896,0.617050462100713
61,0.2103,7.5205e-06,0.5896,0.625741507013696
62,0.2103,7.5205e-06,0.5896,0.639731180584122
63,0.2103,7.5205e-06,0.5896,0.651546688605512
64,0.6616,0.1202,1.2451,0.665851048951049
65,0.6616,0.1202,1.2451,0.678694354426062
66,0.6616,0.1202,1.2451,0.690900986430788
67,0.6616,0.1202,1.2451,0.704973248228282
68,0.6616,0.1202,1.2451,0.714379627725216
69,0.6616,0.1202,1.2451,0.729169143356643
70,0.6616,0.1202,1.2451,0.744607359853262
71,0.6616,0.1202,1.2451,0.76087249959343
72,0.6616,0.1202,1.2451,0.78005792714748
73,0.6616,0.1202,1.2451,0.798648689440057
74,0.3264,0.0095966,0.7284,0.81725567115811
75,0.3264,0.0095966,0.7284,0.834260739260739
76,0.3264,0.0095966,0.7284,0.852993585362007
77,0.3264,0.0095966,0.7284,0.871637051473117
78,0.3264,0.0095966,0.7284,0.888715178264359
79,0.3264,0.0095966,0.7284,0.90626907874734
80,0.3264,0.0095966,0.7284,0.930592579062729
81,0.3264,0.0095966,0.7284,0.953073306004341
82,0.3264,0.0095966,0.7284,0.971949791781253
83,0.3264,0.0095966,0.7284,0.988953962703963
84,1.7028,1.0662,2.3723,1.0052295229523
85,1.7028,1.0662,2.3723,1.02435866764814
86,1.7028,1.0662,2.3723,1.04177229020979
87,1.7028,1.0662,2.3723,1.05716405216405
88,1.7028,1.0662,2.3723,1.07189222542164
89,1.7028,1.0662,2.3723,1.08119509703779
90,1.7028,1.0662,2.3723,1.09222409408773
91,1.7028,1.0662,2.3723,1.10373137731833
92,1.7028,1.0662,2.3723,1.11841068022886
93,1.7028,1.0662,2.3723,1.13446518698693
94,3.1981,2.3442,4.0795,1.14812108943688
95,3.1981,2.3442,4.0795,1.16166677661961
96,3.1981,2.3442,4.0795,1.17643356643357
97,3.1981,2.3442,4.0795,1.19403881118881
98,3.1981,2.3442,4.0795,1.20925421637186
99,3.1981,2.3442,4.0795,1.22439450793109
100,3.1981,2.3442,4.0795,1.26000629370629
101,3.1981,2.3442,4.0795,3.71884287587413
102,3.1981,2.3442,4.0795,3.68743819560721
103,3.1981,2.3442,4.0795,3.61207507368664
104,0.8906,0.2098,1.5623,3.48443518020441
105,0.8906,0.2098,1.5623,3.29901844761573
106,0.8906,0.2098,1.5623,3.06926756787516
107,0.8906,0.2098,1.5623,2.7680955360429
108,0.8906,0.2098,1.5623,2.41420410839161
109,0.8906,0.2098,1.5623,2.03421250813963
110,0.8906,0.2098,1.5623,1.67422865441011
111,0.8906,0.2098,1.5623,1.38101280953233
112,0.8906,0.2098,1.5623,1.12850123280974
113,0.8906,0.2098,1.5623,0.945960256592082
114,0.2828,1.3382e-05,0.7342,0.817937951340855
115,0.2828,1.3382e-05,0.7342,0.714776478582147
116,0.2828,1.3382e-05,0.7342,0.63639515090173
117,0.2828,1.3382e-05,0.7342,0.576466859543783
118,0.2828,1.3382e-05,0.7342,0.527418353897412
119,0.2828,1.3382e-05,0.7342,0.531303082392468
120,0.2828,1.3382e-05,0.7342,0.543701763025707
121,0.2828,1.3382e-05,0.7342,0.550272508741259
122,0.2828,1.3382e-05,0.7342,0.540531576116192
123,0.2828,1.3382e-05,0.7342,0.541947310115627
124,0.5131,0.0331,1.0689,0.55707222847083
125,0.5131,0.0331,1.0689,0.582744755244755
126,0.5131,0.0331,1.0689,0.608916083916084
127,0.5131,0.0331,1.0689,0.63484015984016
128,0.5131,0.0331,1.0689,0.659149565387883
129,0.5131,0.0331,1.0689,0.684562111708034
130,0.5131,0.0331,1.0689,0.716773277483938
131,0.5131,0.0331,1.0689,0.752466673951049
132,0.5131,0.0331,1.0689,0.787426475393765
133,0.5131,0.0331,1.0689,0.821812441290053
134,0.9108,0.1244,1.7207,0.87313159567705
135,0.9108,0.1244,1.7207,0.909467687484929
136,0.9108,0.1244,1.7207,0.93779463183875
137,0.9108,0.1244,1.7207,0.967786344090692
138,0.9108,0.1244,1.7207,1.003536309844
139,0.9108,0.1244,1.7207,1.03768097823964
140,0.9108,0.1244,1.7207,1.07281843156843
141,0.9108,0.1244,1.7207,1.10495758049058
142,0.9108,0.1244,1.7207,1.12450143230264
143,0.9108,0.1244,1.7207,1.14919182302846
144,0.7256,4.7741e-06,1.6291,1.1718571325048
145,0.7256,4.7741e-06,1.6291,1.19029057784321
146,0.7256,4.7741e-06,1.6291,1.21406975950878
147,0.7256,4.7741e-06,1.6291,1.23136879513929
148,0.7256,4.7741e-06,1.6291,1.25062867132867
149,0.7256,4.7741e-06,1.6291,1.27846678321678
150,0.7256,4.7741e-06,1.6291,1.30689153238066
151,0.7256,4.7741e-06,1.6291,1.32199142565977
152,0.7256,4.7741e-06,1.6291,1.36202797202797
153,0.7256,4.7741e-06,1.6291,1.38936163351212
154,1.2704,0.2323,2.3474,1.39689553371157
155,1.2704,0.2323,2.3474,1.41193091661702
156,1.2704,0.2323,2.3474,1.421083010254
157,1.2704,0.2323,2.3474,1.43169048342961
158,1.2704,0.2323,2.3474,1.43511774989716
159,1.2704,0.2323,2.3474,1.4304476444608
160,1.2704,0.2323,2.3474,1.42173986013986
161,1.2704,0.2323,2.3474,1.40990854187135
162,1.2704,0.2323,2.3474,1.40446939514669
163,1.2704,0.2323,2.3474,1.38466351295763
164,0.7722,3.0264e-06,1.7966,1.36410372545604
165,0.7722,3.0264e-06,1.7966,1.36120491867683
166,0.7722,3.0264e-06,1.7966,1.34669406239517
167,0.7722,3.0264e-06,1.7966,1.30947161230378
168,0.7722,3.0264e-06,1.7966,1.28794798951049
