"Time","Mean","Lower95","Upper95","Rt"
3,5.0639,2.595,7.5078,3.14575174825175
4,5.0639,2.595,7.5078,3.14527972027972
5,5.0639,2.595,7.5078,3.14407342657343
6,5.0639,2.595,7.5078,3.1431555944056
7,5.0639,2.595,7.5078,3.14166083916084
8,5.0639,2.595,7.5078,3.1388548951049
9,5.0639,2.595,7.5078,3.13522830111065
10,5.0639,2.595,7.5078,3.13057692307692
11,5.0639,2.595,7.5078,3.12343156843157
12,5.0639,2.595,7.5078,3.11079767689937
13,4.2027,3.2096,5.3024,3.09396180742335
14,4.2027,3.2096,5.3024,3.07515797455557
15,4.2027,3.2096,5.3024,3.05258281192492
16,4.2027,3.2096,5.3024,3.01989798436857
17,4.2027,3.2096,5.3024,2.97304022423857
18,4.2027,3.2096,5.3024,2.91362075424575
19,4.2027,3.2096,5.3024,2.84003337971852
20,4.2027,3.2096,5.3024,2.74948731223219
21,4.2027,3.2096,5.3024,2.64028831612011
22,4.2027,3.2096,5.3024,2.50136353787058
23,3.0791,2.7283,3.4731,2.34085861718926
24,3.0791,2.7283,3.4731,2.1744681891535
25,3.0791,2.7283,3.4731,1.98859995253951
26,3.0791,2.7283,3.4731,1.80194996492869
27,3.0791,2.7283,3.4731,1.61624440595825
28,3.0791,2.7283,3.4731,1.43783151428011
29,3.0791,2.7283,3.4731,1.27928471417348
30,3.0791,2.7283,3.4731,1.12382752116305
31,3.0791,2.7283,3.4731,0.978995793329867
32,3.0791,2.7283,3.4731,0.854732843283391
33,1.3803,1.2143,1.5601,0.754629888268157
34,1.3803,1.2143,1.5601,0.671071615510238
35,1.3803,1.2143,1.5601,0.602846674601994
36,1.3803,1.2143,1.5601,0.541763067441034
37,1.3803,1.2143,1.5601,0.488871882834147
38,1.3803,1.2143,1.5601,0.444867547031556
39,1.3803,1.2143,1.5601,0.40968
40,1.3803,1.2143,1.5601,0.382687050711526
41,1.3803,1.2143,1.5601,0.364176938169744
42,1.3803,1.2143,1.5601,0.345408473879062
43,0.4185,0.24,0.5935,0.326182771773681
44,0.4185,0.24,0.5935,0.309653846153846
45,0.4185,0.24,0.5935,0.297286005134106
46,0.4185,0.24,0.5935,0.287201434928708
47,0.4185,0.24,0.5935,0.27713144963145
48,0.4185,0.24,0.5935,0.268535085604051
49,0.4185,0.24,0.5935,0.261283216783217
50,0.4185,0.24,0.5935,0.255730380730381
51,0.4185,0.24,0.5935,0.247242805271651
52,0.4185,0.24,0.5935,0.241815996503496
53,0.2138,0.00041026,0.4332,0.237011988011988
54,0.2138,0.00041026,0.4332,0.23216047110784
55,0.2138,0.00041026,0.4332,0.229898403483309
56,0.2138,0.00041026,0.4332,0.227297934623516
57,0.2138,0.00041026,0.4332,0.225327025915261
58,0.2138,0.00041026,0.4332,0.2229995004995
59,0.2138,0.00041026,0.4332,0.221908679555739
60,0.2138,0.00041026,0.4332,0.221097902097902
61,0.2138,0.00041026,0.4332,0.220174825174825
62,0.2138,0.00041026,0.4332,0.218855355171145
63,0.3141,8.851e-07,0.6656,0.217207792207792
64,0.3141,8.851e-07,0.6656,0.216116191500807
65,0.3141,8.851e-07,0.6656,0.215769230769231
66,0.3141,8.851e-07,0.6656,0.214712210866057
67,0.3141,8.851e-07,0.6656,0.213933566433567
0,NA,NA,NA,3.14653846153846
2,NA,NA,NA,3.14622377622378
68,NA,NA,NA,0.213415646853147
69,NA,NA,NA,0.212872512103281
70,NA,NA,NA,0.211818181818182
71,NA,NA,NA,0.211468531468532
72,NA,NA,NA,0.211468531468532
73,NA,NA,NA,0.211468531468532
74,NA,NA,NA,0.211468531468532
75,NA,NA,NA,0.211468531468531
76,NA,NA,NA,0.211363636363637
77,NA,NA,NA,0.211153846153846
78,NA,NA,NA,0.211153846153846
79,NA,NA,NA,0.211153846153846
81,NA,NA,NA,0.210996503496504
82,NA,NA,NA,0.210839160839161
83,NA,NA,NA,0.210524475524476
84,NA,NA,NA,0.210367132867133
85,NA,NA,NA,0.209895104895105
87,NA,NA,NA,0.209895104895105
89,NA,NA,NA,0.209895104895105
90,NA,NA,NA,0.20958041958042
91,NA,NA,NA,0.20958041958042
93,NA,NA,NA,0.20958041958042
95,NA,NA,NA,0.20958041958042
101,NA,NA,NA,NA
