"Time","Mean","Lower95","Upper95","Rt"
3,4.086,1.8933,6.2285,NA
4,4.086,1.8933,6.2285,3.14564685314686
5,4.086,1.8933,6.2285,3.14449300699301
6,4.086,1.8933,6.2285,3.14318181818182
7,4.086,1.8933,6.2285,3.14077972027972
8,7.2937,3.9386,10.4831,3.13841958041958
9,7.2937,3.9386,10.4831,3.13531468531469
10,7.2937,3.9386,10.4831,3.12868469765529
11,7.2937,3.9386,10.4831,3.11994005994006
12,7.2937,3.9386,10.4831,3.10972633136095
13,3.9174,2.8124,5.0558,3.09284885568976
14,3.9174,2.8124,5.0558,3.0726948661095
15,3.9174,2.8124,5.0558,3.04802329026905
16,3.9174,2.8124,5.0558,3.0161740182894
17,3.9174,2.8124,5.0558,2.97287832167832
18,2.7012,1.8079,3.6743,2.912653360874
19,2.7012,1.8079,3.6743,2.83071947283486
20,2.7012,1.8079,3.6743,2.72489932708801
21,2.7012,1.8079,3.6743,2.60068466696254
22,2.7012,1.8079,3.6743,2.46361480984769
23,2.2216,1.3316,3.1319,2.3025206727579
24,2.2216,1.3316,3.1319,2.11477910190246
25,2.2216,1.3316,3.1319,1.91555101857669
26,2.2216,1.3316,3.1319,1.70578078443296
27,2.2216,1.3316,3.1319,1.50559813972435
28,1.0418,0.2797,1.8057,1.3196973518285
29,1.0418,0.2797,1.8057,1.1388176013176
30,1.0418,0.2797,1.8057,0.979760960193653
31,1.0418,0.2797,1.8057,0.836866136959016
32,1.0418,0.2797,1.8057,0.718571279756513
33,0.6345,0.0474,1.1334,0.623668862258074
34,0.6345,0.0474,1.1334,0.543685888244248
35,0.6345,0.0474,1.1334,0.481666162557166
36,0.6345,0.0474,1.1334,0.426494195459713
37,0.6345,0.0474,1.1334,0.382908140517201
38,0.4887,0.00013222,1.1724,0.348979807175073
39,0.4887,0.00013222,1.1724,0.322139557481243
40,0.4887,0.00013222,1.1724,0.300742460664336
41,0.4887,0.00013222,1.1724,0.281113360323887
42,0.4887,0.00013222,1.1724,0.263620906532492
43,0.446,2.9205e-05,0.9466,0.247529708054184
44,0.446,2.9205e-05,0.9466,0.236682047460736
45,0.446,2.9205e-05,0.9466,0.226677317897414
46,0.446,2.9205e-05,0.9466,0.21700666520979
47,0.446,2.9205e-05,0.9466,0.209202464202464
48,0.8119,0.0066085,1.5485,0.201783889187735
49,0.8119,0.0066085,1.5485,0.194019773330118
50,0.8119,0.0066085,1.5485,0.189596557288865
51,0.8119,0.0066085,1.5485,0.183451704545455
52,0.8119,0.0066085,1.5485,0.178224053174548
53,0.504,1.0316e-05,1.2953,0.175534781008465
54,0.504,1.0316e-05,1.2953,0.171968262506724
55,0.504,1.0316e-05,1.2953,0.16843785247011
56,0.504,1.0316e-05,1.2953,0.166378621378621
57,0.504,1.0316e-05,1.2953,0.164734793508378
58,0.5467,0.00013688,1.4662,0.163063186813187
59,0.5467,0.00013688,1.4662,0.162083916083916
60,0.5467,0.00013688,1.4662,0.160961538461538
61,0.5467,0.00013688,1.4662,0.159869675778767
62,0.5467,0.00013688,1.4662,0.159260270979021
63,0.8266,9.9446e-05,2.1107,0.158146853146853
64,0.8266,9.9446e-05,2.1107,0.157972027972028
65,0.8266,9.9446e-05,2.1107,0.157972027972028
66,0.8266,9.9446e-05,2.1107,0.157792207792208
67,0.8266,9.9446e-05,2.1107,0.157447552447552
68,3.6542,0.5068,6.6457,0.15729020979021
67,3.6542,0.5068,6.6457,0.157447552447552
0,NA,NA,NA,3.14653846153846
69,NA,NA,NA,0.156803196803197
70,NA,NA,NA,0.156513032422123
71,NA,NA,NA,0.156398601398601
72,NA,NA,NA,0.156398601398601
73,NA,NA,NA,0.156241258741258
74,NA,NA,NA,0.155874125874126
75,NA,NA,NA,0.155769230769231
76,NA,NA,NA,0.15558941058941
77,NA,NA,NA,0.155454545454545
78,NA,NA,NA,0.155454545454545
79,NA,NA,NA,0.155454545454545
81,NA,NA,NA,0.155454545454545
82,NA,NA,NA,0.15513986013986
83,NA,NA,NA,0.15513986013986
84,NA,NA,NA,0.15513986013986
85,NA,NA,NA,0.15513986013986
87,NA,NA,NA,0.15513986013986
89,NA,NA,NA,0.15513986013986
94,NA,NA,NA,NA
