"Time","Mean","Lower95","Upper95","Rt"
4,7.2815,4.9764,9.6744,NA
5,7.2815,4.9764,9.6744,3.14559440559441
6,7.2815,4.9764,9.6744,3.14465034965035
7,7.2815,4.9764,9.6744,3.14291958041958
8,7.2815,4.9764,9.6744,3.141
9,7.2815,4.9764,9.6744,3.13948951048951
10,7.2815,4.9764,9.6744,3.13749125874126
11,7.2815,4.9764,9.6744,3.13481118881119
12,7.2815,4.9764,9.6744,3.13133916083916
13,7.2815,4.9764,9.6744,3.12616783216783
14,10.6334,8.2515,13.3143,3.12020172135557
15,10.6334,8.2515,13.3143,3.1118041958042
16,10.6334,8.2515,13.3143,3.10142045454546
17,10.6334,8.2515,13.3143,3.08617441382147
18,10.6334,8.2515,13.3143,3.06449939483593
19,10.6334,8.2515,13.3143,3.0378040380672
20,10.6334,8.2515,13.3143,3.00687123922589
21,10.6334,8.2515,13.3143,2.96578321678322
22,10.6334,8.2515,13.3143,2.91556664709337
23,10.6334,8.2515,13.3143,2.85236840330088
24,2.4563,2.1668,2.7422,2.77000163770656
25,2.4563,2.1668,2.7422,2.67348988848989
26,2.4563,2.1668,2.7422,2.55878063683889
27,2.4563,2.1668,2.7422,2.42876188597987
28,2.4563,2.1668,2.7422,2.28173477125284
29,2.4563,2.1668,2.7422,2.12066580960024
30,2.4563,2.1668,2.7422,1.94884421134421
31,2.4563,2.1668,2.7422,1.77723147514946
32,2.4563,2.1668,2.7422,1.62093130749847
33,2.4563,2.1668,2.7422,1.45902856966216
34,0.8546,0.7015,1.0023,1.30411529403239
35,0.8546,0.7015,1.0023,1.16238487927167
36,0.8546,0.7015,1.0023,1.03657823092938
37,0.8546,0.7015,1.0023,0.928983779378516
38,0.8546,0.7015,1.0023,0.838036186187619
39,0.8546,0.7015,1.0023,0.766952858034552
40,0.8546,0.7015,1.0023,0.713673045704296
41,0.8546,0.7015,1.0023,0.663932193460989
42,0.8546,0.7015,1.0023,0.623074278662514
43,0.8546,0.7015,1.0023,0.587854047792698
44,0.3563,0.1773,0.5453,0.5669516534546
45,0.3563,0.1773,0.5453,0.556809917355372
46,0.3563,0.1773,0.5453,0.542229150160185
47,0.3563,0.1773,0.5453,0.531614616837169
48,0.3563,0.1773,0.5453,0.528986013986014
49,0.3563,0.1773,0.5453,0.529275980816766
50,0.3563,0.1773,0.5453,0.52939627039627
51,0.3563,0.1773,0.5453,0.536046289350788
52,0.3563,0.1773,0.5453,0.542330910196523
53,0.3563,0.1773,0.5453,0.550084855855607
54,0.6024,0.3489,0.8466,0.558993413225778
55,0.6024,0.3489,0.8466,0.570697217675941
56,0.6024,0.3489,0.8466,0.578025235633931
57,0.6024,0.3489,0.8466,0.590882517482518
58,0.6024,0.3489,0.8466,0.59780480389176
59,0.6024,0.3489,0.8466,0.606768014594102
60,0.6024,0.3489,0.8466,0.617050462100713
61,0.6024,0.3489,0.8466,0.625741507013696
62,0.6024,0.3489,0.8466,0.639731180584122
63,0.6024,0.3489,0.8466,0.651546688605512
64,0.2908,9.4558e-05,0.5876,0.665851048951049
65,0.2908,9.4558e-05,0.5876,0.678694354426062
66,0.2908,9.4558e-05,0.5876,0.690900986430788
67,0.2908,9.4558e-05,0.5876,0.704973248228282
68,0.2908,9.4558e-05,0.5876,0.714379627725216
69,0.2908,9.4558e-05,0.5876,0.729169143356643
70,0.2908,9.4558e-05,0.5876,0.744607359853262
71,0.2908,9.4558e-05,0.5876,0.76087249959343
72,0.2908,9.4558e-05,0.5876,0.78005792714748
73,0.2908,9.4558e-05,0.5876,0.798648689440057
74,0.8325,0.4308,1.2334,0.81725567115811
75,0.8325,0.4308,1.2334,0.834260739260739
76,0.8325,0.4308,1.2334,0.852993585362007
77,0.8325,0.4308,1.2334,0.871637051473117
78,0.8325,0.4308,1.2334,0.888715178264359
79,0.8325,0.4308,1.2334,0.90626907874734
80,0.8325,0.4308,1.2334,0.930592579062729
81,0.8325,0.4308,1.2334,0.953073306004341
82,0.8325,0.4308,1.2334,0.971949791781253
83,0.8325,0.4308,1.2334,0.988953962703963
84,0.7324,0.3072,1.1558,1.0052295229523
85,0.7324,0.3072,1.1558,1.02435866764814
