t,R,S,I,sample
0,0.0,19999.0,1.0,0.0
0.0662291603728316,0.0,19998.0,2.0,0.0
0.15144461319753155,1.0,19998.0,1.0,0.0
0.4696931289622533,1.0,19997.0,2.0,0.0
0.7343642364357853,1.0,19996.0,3.0,0.0
0.8548995482578915,1.0,19995.0,4.0,0.0
1.2437380671466036,1.0,19994.0,5.0,0.0
1.3668320842241943,2.0,19994.0,4.0,0.0
1.4978582137332102,2.0,19993.0,5.0,0.0
1.653058912181304,3.0,19993.0,4.0,0.0
1.7072665103803957,4.0,19993.0,3.0,0.0
1.735834705875294,4.0,19992.0,4.0,0.0
1.9981109634240268,4.0,19991.0,5.0,0.0
2.3595976551521205,4.0,19990.0,6.0,0.0
2.482993504111696,4.0,19989.0,7.0,0.0
2.513223903843783,4.0,19988.0,8.0,0.0
2.5821481124160415,4.0,19987.0,9.0,0.0
2.594568539554959,4.0,19986.0,10.0,0.0
2.6394650666206694,4.0,19985.0,11.0,0.0
2.6419432088291774,4.0,19984.0,12.0,0.0
2.800956608080022,4.0,19983.0,13.0,0.0
2.9275618195184547,4.0,19982.0,14.0,0.0
2.9300107127813315,5.0,19982.0,13.0,0.0
3.0470417796514635,5.0,19981.0,14.0,0.0
3.1332318198364075,6.0,19981.0,13.0,0.0
3.308353818719014,6.0,19980.0,14.0,0.0
3.3732732499091846,7.0,19980.0,13.0,0.0
3.39575684251061,7.0,19979.0,14.0,0.0
3.4514541259267877,7.0,19978.0,15.0,0.0
3.4666215076662894,7.0,19977.0,16.0,0.0
3.561646175452077,7.0,19976.0,17.0,0.0
3.785567096793473,8.0,19976.0,16.0,1.0
3.8552997745750663,8.0,19975.0,17.0,1.0
3.896706700191435,9.0,19975.0,16.0,1.0
3.9382921157613775,9.0,19974.0,17.0,1.0
4.09870469854632,9.0,19973.0,18.0,1.0
4.107615688710044,10.0,19973.0,17.0,2.0
4.4304628694037715,10.0,19972.0,18.0,2.0
4.564402567266324,10.0,19971.0,19.0,2.0
4.575787134423028,10.0,19970.0,20.0,2.0
4.617605721641754,10.0,19969.0,21.0,2.0
4.65297794406293,11.0,19969.0,20.0,2.0
4.735638601179997,11.0,19968.0,21.0,2.0
4.76632276675095,11.0,19967.0,22.0,2.0
4.897047573988142,11.0,19966.0,23.0,2.0
4.947122450245658,12.0,19966.0,22.0,2.0
5.010693742680124,12.0,19965.0,23.0,2.0
5.02059787074869,12.0,19964.0,24.0,2.0
5.136788225760421,12.0,19963.0,25.0,2.0
5.14185374290384,12.0,19962.0,26.0,2.0
5.290899236778003,12.0,19961.0,27.0,2.0
5.306219761013709,13.0,19961.0,26.0,2.0
5.337456484316955,13.0,19960.0,27.0,2.0
5.353336334315412,14.0,19960.0,26.0,2.0
5.372190124348104,15.0,19960.0,25.0,2.0
5.424614569889694,15.0,19959.0,26.0,2.0
5.426618078926982,15.0,19958.0,27.0,2.0
5.6396141210381545,15.0,19957.0,28.0,2.0
5.787638802527474,15.0,19956.0,29.0,2.0
5.960998616930332,15.0,19955.0,30.0,2.0
5.968983923893442,15.0,19954.0,31.0,2.0
5.987176027837154,16.0,19954.0,30.0,2.0
6.024206751154308,17.0,19954.0,29.0,2.0
6.100709324018248,17.0,19953.0,30.0,2.0
6.107251519528944,17.0,19952.0,31.0,2.0
6.108527092147586,17.0,19951.0,32.0,2.0
6.232151903043628,17.0,19950.0,33.0,2.0
6.26590955256871,17.0,19949.0,34.0,2.0
6.313279025402279,17.0,19948.0,35.0,2.0
6.533781413035434,17.0,19947.0,36.0,2.0
6.556502784519071,17.0,19946.0,37.0,2.0
6.6594452038057526,17.0,19945.0,38.0,2.0
6.669035346792488,18.0,19945.0,37.0,3.0
6.687432972875956,18.0,19944.0,38.0,3.0
6.711274415579975,18.0,19943.0,39.0,3.0
6.741837251055506,18.0,19942.0,40.0,3.0
6.793223259120408,18.0,19941.0,41.0,3.0
6.965029431489254,18.0,19940.0,42.0,3.0
6.992190615756678,18.0,19939.0,43.0,3.0
7.007937431713474,18.0,19938.0,44.0,3.0
7.032959564616953,19.0,19938.0,43.0,3.0
7.047036048105361,19.0,19937.0,44.0,3.0
7.073505278059232,19.0,19936.0,45.0,3.0
7.199845927412447,20.0,19936.0,44.0,3.0
7.22058794933445,20.0,19935.0,45.0,3.0
7.2336376690094335,20.0,19934.0,46.0,3.0
7.238832981409292,20.0,19933.0,47.0,3.0
7.281091017272086,20.0,19932.0,48.0,3.0
7.315245079558558,20.0,19931.0,49.0,3.0
7.365816374021764,20.0,19930.0,50.0,3.0
7.424180942756035,20.0,19929.0,51.0,3.0
7.438655135664794,20.0,19928.0,52.0,3.0
7.449290252699713,20.0,19927.0,53.0,3.0
7.450111853657015,20.0,19926.0,54.0,3.0
7.461408505373162,20.0,19925.0,55.0,3.0
7.46561878682275,20.0,19924.0,56.0,3.0
7.483467522012204,20.0,19923.0,57.0,3.0
7.492383900092795,20.0,19922.0,58.0,3.0
7.496607099008531,20.0,19921.0,59.0,3.0
7.520872403276091,20.0,19920.0,60.0,3.0
7.531486526407936,20.0,19919.0,61.0,3.0
7.547152695455741,20.0,19918.0,62.0,3.0
7.58848455247936,20.0,19917.0,63.0,3.0
7.634441763466899,20.0,19916.0,64.0,3.0
7.663238096844091,21.0,19916.0,63.0,3.0
7.684505990652904,21.0,19915.0,64.0,3.0
7.687382766566299,21.0,19914.0,65.0,3.0
7.688663421720894,21.0,19913.0,66.0,3.0
7.715331419685705,21.0,19912.0,67.0,3.0
7.716494149631785,21.0,19911.0,68.0,3.0
7.721168762763824,21.0,19910.0,69.0,3.0
7.76706280632841,21.0,19909.0,70.0,3.0
7.793240835327004,21.0,19908.0,71.0,3.0
7.808545641804009,21.0,19907.0,72.0,3.0
7.821998767820712,21.0,19906.0,73.0,3.0
7.834231253231475,21.0,19905.0,74.0,3.0
7.841848274480307,21.0,19904.0,75.0,3.0
7.854438721421399,21.0,19903.0,76.0,3.0
7.862428496467245,22.0,19903.0,75.0,3.0
7.900322058660541,22.0,19902.0,76.0,3.0
7.910129646454823,22.0,19901.0,77.0,3.0
7.92641352021979,22.0,19900.0,78.0,3.0
7.935290356770434,22.0,19899.0,79.0,3.0
7.964674065613851,23.0,19899.0,78.0,3.0
7.966808229186244,23.0,19898.0,79.0,3.0
7.972110547033223,24.0,19898.0,78.0,3.0
7.972578214498715,24.0,19897.0,79.0,3.0
7.980122715871062,25.0,19897.0,78.0,3.0
7.999416506417216,25.0,19896.0,79.0,3.0
8.005762920626328,26.0,19896.0,78.0,3.0
8.017459311266958,26.0,19895.0,79.0,3.0
8.021271821194954,26.0,19894.0,80.0,3.0
8.04432363748562,26.0,19893.0,81.0,3.0
8.07250362601461,27.0,19893.0,80.0,3.0
8.074964453248429,27.0,19892.0,81.0,3.0
8.099145404372914,27.0,19891.0,82.0,3.0
8.099516551565666,27.0,19890.0,83.0,3.0
8.115745585449462,27.0,19889.0,84.0,3.0
8.136716935113416,28.0,19889.0,83.0,3.0
8.141095122747378,28.0,19888.0,84.0,3.0
8.16911308772315,29.0,19888.0,83.0,3.0
8.181501183567985,29.0,19887.0,84.0,3.0
8.189258074868487,30.0,19887.0,83.0,3.0
8.231563698427896,31.0,19887.0,82.0,3.0
8.238752317673907,31.0,19886.0,83.0,3.0
8.247285771179193,31.0,19885.0,84.0,3.0
8.24908564288012,31.0,19884.0,85.0,3.0
8.26654974880658,31.0,19883.0,86.0,3.0
8.269623036994776,31.0,19882.0,87.0,3.0
8.271111315586204,32.0,19882.0,86.0,3.0
8.272927250508046,32.0,19881.0,87.0,3.0
8.283599972201529,32.0,19880.0,88.0,3.0
8.295995845476979,33.0,19880.0,87.0,3.0
8.310977424378578,33.0,19879.0,88.0,3.0
8.331728407829962,33.0,19878.0,89.0,3.0
8.3377684865485,33.0,19877.0,90.0,3.0
8.338851678590446,33.0,19876.0,91.0,3.0
8.339984168488895,33.0,19875.0,92.0,3.0
8.342922665759938,33.0,19874.0,93.0,3.0
8.344103522575072,34.0,19874.0,92.0,3.0
8.345647672712573,34.0,19873.0,93.0,3.0
8.373370789850776,34.0,19872.0,94.0,3.0
8.375349752896462,35.0,19872.0,93.0,4.0
8.398567398864023,35.0,19871.0,94.0,4.0
8.426232816054519,36.0,19871.0,93.0,4.0
8.434500537722311,36.0,19870.0,94.0,4.0
8.438591145753316,36.0,19869.0,95.0,4.0
8.44326329106185,36.0,19868.0,96.0,4.0
8.452507919802244,36.0,19867.0,97.0,4.0
8.457116764400787,37.0,19867.0,96.0,4.0
8.476771565902183,37.0,19866.0,97.0,4.0
8.532131876111752,37.0,19865.0,98.0,4.0
8.542418653970126,37.0,19864.0,99.0,4.0
8.543754208228318,37.0,19863.0,100.0,4.0
8.550258814633525,38.0,19863.0,99.0,4.0
8.560882145462264,38.0,19862.0,100.0,4.0
8.562997755728484,38.0,19861.0,101.0,4.0
8.569431507223294,38.0,19860.0,102.0,4.0
8.577352637877539,39.0,19860.0,101.0,4.0
8.600280641125618,39.0,19859.0,102.0,4.0
8.655566697117466,39.0,19858.0,103.0,4.0
8.659837671972362,39.0,19857.0,104.0,4.0
8.668526830878296,39.0,19856.0,105.0,4.0
8.674650755083134,39.0,19855.0,106.0,4.0
8.67794807245061,39.0,19854.0,107.0,4.0
8.67939378187003,39.0,19853.0,108.0,4.0
8.69995641271736,39.0,19852.0,109.0,4.0
8.744790426781544,39.0,19851.0,110.0,4.0
8.748714018970455,39.0,19850.0,111.0,4.0
8.767647286582708,39.0,19849.0,112.0,4.0
8.77453545040812,39.0,19848.0,113.0,4.0
8.774942257953692,39.0,19847.0,114.0,4.0
8.782949792417114,39.0,19846.0,115.0,4.0
8.788352404510087,39.0,19845.0,116.0,4.0
8.811887143779956,39.0,19844.0,117.0,4.0
8.817305259230642,39.0,19843.0,118.0,4.0
8.826155613652507,39.0,19842.0,119.0,4.0
8.845416131622155,40.0,19842.0,118.0,4.0
8.848689053856551,41.0,19842.0,117.0,4.0
8.850869686959657,42.0,19842.0,116.0,4.0
8.854895203335156,42.0,19841.0,117.0,4.0
8.865360395480437,43.0,19841.0,116.0,4.0
8.873792451917934,43.0,19840.0,117.0,4.0
8.890556844282461,44.0,19840.0,116.0,5.0
8.905092955028618,44.0,19839.0,117.0,5.0
8.915691956259497,44.0,19838.0,118.0,5.0
8.925602939532327,44.0,19837.0,119.0,5.0
8.95171621701691,44.0,19836.0,120.0,5.0
8.978577024629937,44.0,19835.0,121.0,5.0
8.978619044664374,44.0,19834.0,122.0,5.0
8.980554325965436,45.0,19834.0,121.0,5.0
8.981156061891479,45.0,19833.0,122.0,5.0
8.991858518739607,45.0,19832.0,123.0,5.0
8.995087458623507,45.0,19831.0,124.0,5.0
9.020073702655685,45.0,19830.0,125.0,5.0
9.058426180590647,46.0,19830.0,124.0,5.0
9.060171524937962,46.0,19829.0,125.0,5.0
9.067876336957804,46.0,19828.0,126.0,5.0
9.083935030281653,46.0,19827.0,127.0,5.0
9.102138073506973,47.0,19827.0,126.0,5.0
9.111114354778168,47.0,19826.0,127.0,5.0
9.116365070748309,48.0,19826.0,126.0,5.0
9.127696621342986,48.0,19825.0,127.0,5.0
9.146787611130398,48.0,19824.0,128.0,5.0
9.165870643917277,48.0,19823.0,129.0,5.0
9.183198734677214,48.0,19822.0,130.0,5.0
9.188913072157646,49.0,19822.0,129.0,5.0
9.219511311608333,49.0,19821.0,130.0,5.0
9.228218162909814,49.0,19820.0,131.0,5.0
9.243262214358092,49.0,19819.0,132.0,5.0
9.247006603252965,49.0,19818.0,133.0,5.0
9.252685925064704,49.0,19817.0,134.0,5.0
9.26204361313532,49.0,19816.0,135.0,5.0
9.26507555298669,50.0,19816.0,134.0,5.0
9.2766078295668,50.0,19815.0,135.0,5.0
9.282948080694588,50.0,19814.0,136.0,5.0
9.29619605535006,50.0,19813.0,137.0,5.0
9.29779709832467,50.0,19812.0,138.0,5.0
9.304085287975253,51.0,19812.0,137.0,5.0
9.337845328723812,51.0,19811.0,138.0,5.0
9.388790502773281,51.0,19810.0,139.0,5.0
9.405610463506655,52.0,19810.0,138.0,5.0
9.409337875716917,52.0,19809.0,139.0,5.0
9.417628834356687,52.0,19808.0,140.0,5.0
9.423323219484143,52.0,19807.0,141.0,5.0
9.429513393281644,52.0,19806.0,142.0,5.0
9.481584237904974,52.0,19805.0,143.0,5.0
9.484556812602529,52.0,19804.0,144.0,5.0
9.48667066305797,52.0,19803.0,145.0,5.0
9.497270047517048,53.0,19803.0,144.0,5.0
9.522035048514,53.0,19802.0,145.0,5.0
9.531322294193629,53.0,19801.0,146.0,5.0
9.5434985813196,53.0,19800.0,147.0,5.0
9.546524012748396,53.0,19799.0,148.0,5.0
9.547843639148153,53.0,19798.0,149.0,5.0
9.54942241191061,53.0,19797.0,150.0,5.0
9.557940445283652,54.0,19797.0,149.0,5.0
9.5589042368277,54.0,19796.0,150.0,5.0
9.597868622269253,54.0,19795.0,151.0,5.0
9.599139067073354,54.0,19794.0,152.0,5.0
9.603917474449018,54.0,19793.0,153.0,5.0
9.608441223915426,54.0,19792.0,154.0,5.0
9.621087767013304,55.0,19792.0,153.0,5.0
9.62181188100476,55.0,19791.0,154.0,5.0
9.625656745637677,55.0,19790.0,155.0,5.0
9.625891834328742,55.0,19789.0,156.0,5.0
9.636598581431128,55.0,19788.0,157.0,5.0
9.639620490119775,55.0,19787.0,158.0,5.0
9.651564119537175,55.0,19786.0,159.0,5.0
9.65277847185869,55.0,19785.0,160.0,5.0
9.653566005562599,55.0,19784.0,161.0,5.0
9.65885752229299,55.0,19783.0,162.0,5.0
9.659804634651312,56.0,19783.0,161.0,5.0
9.681595769447204,56.0,19782.0,162.0,5.0
9.70718261704054,56.0,19781.0,163.0,5.0
9.72647513516741,56.0,19780.0,164.0,5.0
9.731328004773903,56.0,19779.0,165.0,5.0
9.731931092764777,56.0,19778.0,166.0,5.0
9.735182376926918,56.0,19777.0,167.0,5.0
9.740480413690701,56.0,19776.0,168.0,5.0
9.75227189075991,57.0,19776.0,167.0,5.0
9.764116325216524,57.0,19775.0,168.0,5.0
9.776922123684033,57.0,19774.0,169.0,5.0
9.806578384904745,57.0,19773.0,170.0,5.0
9.82206296532595,57.0,19772.0,171.0,5.0
9.827469958517488,57.0,19771.0,172.0,5.0
9.836078147086566,57.0,19770.0,173.0,5.0
9.838977208454956,57.0,19769.0,174.0,5.0
9.845287954732646,57.0,19768.0,175.0,5.0
9.852170793580886,57.0,19767.0,176.0,5.0
9.855313778602623,57.0,19766.0,177.0,5.0
9.857910801507769,57.0,19765.0,178.0,5.0
9.858871239587215,57.0,19764.0,179.0,5.0
9.881981644254257,57.0,19763.0,180.0,5.0
9.884093485221412,57.0,19762.0,181.0,5.0
9.890382947571476,57.0,19761.0,182.0,5.0
9.901934542511617,58.0,19761.0,181.0,5.0
9.905626548071195,59.0,19761.0,180.0,5.0
9.90687632799294,59.0,19760.0,181.0,5.0
9.922043277114273,59.0,19759.0,182.0,5.0
9.926747088544264,59.0,19758.0,183.0,5.0
9.929552148318175,59.0,19757.0,184.0,5.0
9.930064195584922,59.0,19756.0,185.0,5.0
9.93171755785966,59.0,19755.0,186.0,5.0
9.935613458088149,59.0,19754.0,187.0,5.0
9.948386872570152,59.0,19753.0,188.0,5.0
9.961747697687077,59.0,19752.0,189.0,5.0
9.969538432568593,59.0,19751.0,190.0,5.0
9.974660131156774,59.0,19750.0,191.0,5.0
9.977123688112135,59.0,19749.0,192.0,5.0
9.987298577453268,59.0,19748.0,193.0,5.0
9.98947763360211,59.0,19747.0,194.0,5.0
10.004021122537818,59.0,19746.0,195.0,5.0
10.004889200725069,59.0,19745.0,196.0,5.0
10.00656986270086,60.0,19745.0,195.0,5.0
10.007497484674333,60.0,19744.0,196.0,5.0
10.009475647516176,61.0,19744.0,195.0,5.0
10.019016344340852,61.0,19743.0,196.0,5.0
10.028372820942518,61.0,19742.0,197.0,5.0
10.042433846114326,61.0,19741.0,198.0,5.0
10.043367346075476,61.0,19740.0,199.0,5.0
10.049810148416157,61.0,19739.0,200.0,5.0
10.060005195102107,61.0,19738.0,201.0,5.0
10.066947125453675,61.0,19737.0,202.0,5.0
10.06724858153295,61.0,19736.0,203.0,5.0
10.074122358358563,61.0,19735.0,204.0,5.0
10.07877616876171,61.0,19734.0,205.0,5.0
10.079386422869042,61.0,19733.0,206.0,5.0
10.085666163290373,61.0,19732.0,207.0,5.0
10.086108386888853,61.0,19731.0,208.0,5.0
10.088555886424825,61.0,19730.0,209.0,5.0
10.093163965568884,61.0,19729.0,210.0,5.0
10.097261556480776,61.0,19728.0,211.0,5.0
10.105817566656809,61.0,19727.0,212.0,5.0
10.119170761366886,61.0,19726.0,213.0,5.0
10.119833845985898,62.0,19726.0,212.0,5.0
10.123183667470194,63.0,19726.0,211.0,5.0
10.12483512312223,64.0,19726.0,210.0,5.0
10.13287697927358,64.0,19725.0,211.0,5.0
10.151933124305106,65.0,19725.0,210.0,5.0
