t,R,S,I,sample
0,0.0,19999.0,1.0,0.0
0.4089229503518198,0.0,19998.0,2.0,0.0
0.7804837365900474,0.0,19997.0,3.0,0.0
1.9085638929830973,1.0,19997.0,2.0,0.0
2.863360169653259,2.0,19997.0,1.0,0.0
3.72257166767306,2.0,19996.0,2.0,0.0
4.0202528729475775,3.0,19996.0,1.0,0.0
8.561772162028547,3.0,19995.0,2.0,0.0
8.565122199585259,3.0,19994.0,3.0,0.0
8.585752507584932,3.0,19993.0,4.0,0.0
8.700990826700462,3.0,19992.0,5.0,0.0
9.621669645359017,3.0,19991.0,6.0,0.0
9.833719180519976,3.0,19990.0,7.0,0.0
9.853742222180694,3.0,19989.0,8.0,0.0
9.928504901525464,3.0,19988.0,9.0,0.0
10.472522538288539,3.0,19987.0,10.0,0.0
10.480509204253943,3.0,19986.0,11.0,0.0
10.638733324337421,3.0,19985.0,12.0,0.0
10.688701412431788,4.0,19985.0,11.0,0.0
10.798104526151915,4.0,19984.0,12.0,0.0
10.839536595163683,5.0,19984.0,11.0,0.0
11.026807749479593,5.0,19983.0,12.0,0.0
11.168843520418003,5.0,19982.0,13.0,0.0
11.349929044084352,6.0,19982.0,12.0,0.0
11.444311357092477,7.0,19982.0,11.0,1.0
11.519663804658698,7.0,19981.0,12.0,1.0
11.549155808635852,7.0,19980.0,13.0,1.0
11.663203768828287,7.0,19979.0,14.0,1.0
11.694371234883308,7.0,19978.0,15.0,1.0
11.74760405746593,7.0,19977.0,16.0,1.0
11.75849730468458,7.0,19976.0,17.0,1.0
11.781447826496013,7.0,19975.0,18.0,1.0
11.8598726874153,7.0,19974.0,19.0,1.0
11.875182894367871,8.0,19974.0,18.0,1.0
12.026755551956,8.0,19973.0,19.0,1.0
12.061213777042362,8.0,19972.0,20.0,1.0
12.06302295971849,8.0,19971.0,21.0,1.0
12.066392897924258,8.0,19970.0,22.0,1.0
12.092921579805623,8.0,19969.0,23.0,1.0
12.189705934366115,8.0,19968.0,24.0,1.0
12.220450250452991,8.0,19967.0,25.0,1.0
12.22212858131364,8.0,19966.0,26.0,1.0
12.223834962849212,9.0,19966.0,25.0,1.0
12.248080500847188,9.0,19965.0,26.0,1.0
12.295088570163259,10.0,19965.0,25.0,1.0
12.30648227933087,10.0,19964.0,26.0,1.0
12.400594732901578,10.0,19963.0,27.0,1.0
12.448758734266665,10.0,19962.0,28.0,1.0
12.559104560689324,11.0,19962.0,27.0,1.0
12.591392337631293,12.0,19962.0,26.0,1.0
12.604837854751581,12.0,19961.0,27.0,1.0
12.733375323091716,12.0,19960.0,28.0,1.0
12.799222451969817,12.0,19959.0,29.0,1.0
12.860879738755695,12.0,19958.0,30.0,1.0
12.90720953453944,12.0,19957.0,31.0,1.0
12.915672725001155,12.0,19956.0,32.0,1.0
12.942047158367085,12.0,19955.0,33.0,1.0
12.943060292897043,13.0,19955.0,32.0,1.0
13.005888080835613,13.0,19954.0,33.0,1.0
13.03338877424703,13.0,19953.0,34.0,1.0
13.157830837200947,13.0,19952.0,35.0,1.0
13.239137522575515,13.0,19951.0,36.0,1.0
13.256090215955226,14.0,19951.0,35.0,1.0
13.306009629566633,15.0,19951.0,34.0,1.0
13.331914610316167,15.0,19950.0,35.0,1.0
13.375177922011893,15.0,19949.0,36.0,1.0
13.37815847903016,15.0,19948.0,37.0,1.0
13.38299692175517,15.0,19947.0,38.0,1.0
13.420432941755312,15.0,19946.0,39.0,1.0
13.481687640587145,15.0,19945.0,40.0,1.0
13.6030354238913,15.0,19944.0,41.0,1.0
13.618694397480583,15.0,19943.0,42.0,1.0
13.705876769163579,16.0,19943.0,41.0,1.0
13.714144492659235,16.0,19942.0,42.0,1.0
13.724677700087446,16.0,19941.0,43.0,1.0
13.729413352624544,16.0,19940.0,44.0,1.0
13.74657870693401,16.0,19939.0,45.0,1.0
13.767634134821236,16.0,19938.0,46.0,1.0
13.788842507396604,17.0,19938.0,45.0,1.0
13.791578346916642,18.0,19938.0,44.0,1.0
13.840598678774125,19.0,19938.0,43.0,1.0
13.911108066569662,19.0,19937.0,44.0,1.0
13.925384272599548,19.0,19936.0,45.0,1.0
13.926581920936519,20.0,19936.0,44.0,1.0
13.957504374274016,21.0,19936.0,43.0,1.0
14.038608333433036,21.0,19935.0,44.0,1.0
14.084862018413423,21.0,19934.0,45.0,1.0
14.132944836511184,21.0,19933.0,46.0,1.0
14.185424652068605,22.0,19933.0,45.0,1.0
14.185510533824596,23.0,19933.0,44.0,1.0
14.20616756638419,24.0,19933.0,43.0,1.0
14.207113540095873,24.0,19932.0,44.0,1.0
14.219727578025532,24.0,19931.0,45.0,1.0
14.229974264452355,24.0,19930.0,46.0,1.0
14.24069438280531,24.0,19929.0,47.0,1.0
14.351285391321255,24.0,19928.0,48.0,1.0
14.373835252306854,24.0,19927.0,49.0,1.0
14.387450805977796,25.0,19927.0,48.0,1.0
14.421686375738982,25.0,19926.0,49.0,1.0
14.423518387503822,26.0,19926.0,48.0,1.0
14.489870778616405,26.0,19925.0,49.0,1.0
14.499150007541546,26.0,19924.0,50.0,1.0
14.500400865940795,26.0,19923.0,51.0,1.0
14.560422345021394,26.0,19922.0,52.0,1.0
14.585630409602015,27.0,19922.0,51.0,1.0
14.592719495346598,27.0,19921.0,52.0,1.0
14.593175680547702,27.0,19920.0,53.0,1.0
14.608169277636419,27.0,19919.0,54.0,1.0
14.60919727448857,27.0,19918.0,55.0,1.0
14.626596566267612,27.0,19917.0,56.0,1.0
14.636778019586396,27.0,19916.0,57.0,1.0
14.669345987448299,27.0,19915.0,58.0,1.0
14.678829285363683,27.0,19914.0,59.0,1.0
14.688511182740147,27.0,19913.0,60.0,1.0
14.720725308644921,28.0,19913.0,59.0,1.0
14.789777391115711,28.0,19912.0,60.0,1.0
14.85515206788214,29.0,19912.0,59.0,1.0
14.887732011688636,30.0,19912.0,58.0,1.0
14.900627253251143,30.0,19911.0,59.0,1.0
14.920992470037742,30.0,19910.0,60.0,1.0
14.93033533933651,30.0,19909.0,61.0,1.0
14.935896303419804,30.0,19908.0,62.0,1.0
14.94108901722928,30.0,19907.0,63.0,1.0
14.968029935285312,31.0,19907.0,62.0,1.0
15.03798009109948,31.0,19906.0,63.0,1.0
15.051483580963541,31.0,19905.0,64.0,1.0
15.118615276349399,32.0,19905.0,63.0,2.0
15.122804893142662,33.0,19905.0,62.0,2.0
15.14322296298528,33.0,19904.0,63.0,2.0
15.154753441481665,33.0,19903.0,64.0,2.0
15.162608811135952,33.0,19902.0,65.0,2.0
15.206181485808173,34.0,19902.0,64.0,2.0
15.238449984693686,34.0,19901.0,65.0,2.0
15.255461241617347,34.0,19900.0,66.0,2.0
15.271471798982759,34.0,19899.0,67.0,2.0
15.298626059818622,34.0,19898.0,68.0,2.0
15.313893333849997,35.0,19898.0,67.0,2.0
15.325976687992668,35.0,19897.0,68.0,2.0
15.355038698240946,35.0,19896.0,69.0,2.0
15.398145160008582,36.0,19896.0,68.0,2.0
15.401171142664499,36.0,19895.0,69.0,2.0
15.414852764835507,37.0,19895.0,68.0,2.0
15.437692263254217,38.0,19895.0,67.0,2.0
15.439388463983061,38.0,19894.0,68.0,2.0
15.471097151447267,38.0,19893.0,69.0,2.0
15.474205309048678,38.0,19892.0,70.0,2.0
15.568466980717693,38.0,19891.0,71.0,2.0
15.595033118251683,38.0,19890.0,72.0,2.0
15.66807790680326,38.0,19889.0,73.0,2.0
15.678712142417742,39.0,19889.0,72.0,3.0
15.686014080608752,39.0,19888.0,73.0,3.0
15.688784206396289,39.0,19887.0,74.0,3.0
15.726327584201139,39.0,19886.0,75.0,3.0
15.727532200232492,39.0,19885.0,76.0,3.0
15.736446579737262,39.0,19884.0,77.0,3.0
15.740572737193153,39.0,19883.0,78.0,3.0
15.746202372495782,40.0,19883.0,77.0,3.0
15.751806375227092,41.0,19883.0,76.0,3.0
15.796358760688898,41.0,19882.0,77.0,3.0
15.849773691000209,41.0,19881.0,78.0,3.0
15.865846620611796,41.0,19880.0,79.0,3.0
15.867526273784406,41.0,19879.0,80.0,3.0
