t,R,S,I,sample
0,0.0,19999.0,1.0,0.0
1.2266430087181575,0.0,19998.0,2.0,0.0
2.9217306941937546,0.0,19997.0,3.0,0.0
3.974655353253783,1.0,19997.0,2.0,0.0
4.31183696393697,1.0,19996.0,3.0,0.0
4.368684989894419,2.0,19996.0,2.0,0.0
6.0267182775019705,2.0,19995.0,3.0,0.0
6.188509676640956,2.0,19994.0,4.0,0.0
6.510694120009045,2.0,19993.0,5.0,0.0
6.538372719724396,2.0,19992.0,6.0,0.0
6.792168149559904,2.0,19991.0,7.0,0.0
6.967485641369021,2.0,19990.0,8.0,0.0
7.384884194759149,3.0,19990.0,7.0,0.0
7.465532968074087,3.0,19989.0,8.0,0.0
7.778644143685292,3.0,19988.0,9.0,0.0
7.9563190894455555,4.0,19988.0,8.0,1.0
8.04573368058566,4.0,19987.0,9.0,1.0
8.125507298522185,4.0,19986.0,10.0,1.0
8.17112406850357,4.0,19985.0,11.0,1.0
8.233221897344638,4.0,19984.0,12.0,1.0
8.249618207019696,4.0,19983.0,13.0,1.0
8.258552433959077,4.0,19982.0,14.0,1.0
8.397429591757566,5.0,19982.0,13.0,1.0
8.497792774177638,5.0,19981.0,14.0,1.0
8.649242457246302,5.0,19980.0,15.0,1.0
8.667319444679233,5.0,19979.0,16.0,1.0
8.711750226420987,5.0,19978.0,17.0,1.0
8.773768110936786,5.0,19977.0,18.0,1.0
8.777901003587703,6.0,19977.0,17.0,1.0
8.953342340818187,6.0,19976.0,18.0,1.0
9.033683168068311,6.0,19975.0,19.0,1.0
9.075077161938488,6.0,19974.0,20.0,1.0
9.097271402832654,6.0,19973.0,21.0,1.0
9.294789820950594,6.0,19972.0,22.0,1.0
9.508054041205424,6.0,19971.0,23.0,1.0
9.513242055211343,6.0,19970.0,24.0,1.0
9.609364890624505,6.0,19969.0,25.0,1.0
9.742132518667106,6.0,19968.0,26.0,1.0
9.862795201415562,6.0,19967.0,27.0,1.0
9.876376992002747,6.0,19966.0,28.0,1.0
9.952873617589422,6.0,19965.0,29.0,1.0
9.969565726010824,6.0,19964.0,30.0,1.0
