"day","Date","Day","BirthEvents","Samplings","Cases","SuspectedCases","Lineages","TotalCases","PropSequencedTotal"
1,2014-03-22,1,0,0,0,0,NA,0,NA
2,2014-03-23,2,0,0,0,0,NA,0,NA
3,2014-03-24,3,0,0,0,0,NA,0,NA
4,2014-03-25,4,0,0,0,0,NA,0,NA
5,2014-03-26,5,0,0,0,0,NA,0,NA
6,2014-03-27,6,0,0,0,0,1,0,NA
7,2014-03-28,7,7,0,0,0,8,0,NA
8,2014-03-29,8,2,0,0,0,10,0,NA
9,2014-03-30,9,0,0,0,0,10,0,NA
10,2014-03-31,10,4,0,0,0,15,0,NA
11,2014-04-01,11,2,0,0,0,16,0,NA
12,2014-04-02,12,0,0,0,0,17,0,NA
13,2014-04-03,13,2,0,0,0,18,0,NA
14,2014-04-04,14,0,0,0,0,18,0,NA
15,2014-04-05,15,1,0,0,0,20,0,NA
16,2014-04-06,16,2,0,0,0,21,0,NA
17,2014-04-07,17,1,0,0,0,22,0,NA
18,2014-04-08,18,0,0,0,0,22,0,NA
19,2014-04-09,19,0,0,0,0,22,0,NA
20,2014-04-10,20,0,0,0,0,22,0,NA
21,2014-04-11,21,0,0,0,0,22,0,NA
22,2014-04-12,22,0,0,0,0,22,0,NA
23,2014-04-13,23,0,0,0,0,22,0,NA
24,2014-04-14,24,0,0,0,0,22,0,NA
25,2014-04-15,25,0,0,0,0,22,0,NA
26,2014-04-16,26,0,0,0,0,22,0,NA
27,2014-04-17,27,0,0,0,0,22,0,NA
28,2014-04-18,28,0,0,0,0,22,0,NA
29,2014-04-19,29,0,0,0,0,22,0,NA
30,2014-04-20,30,0,0,0,0,22,0,NA
31,2014-04-21,31,0,0,0,0,22,0,NA
32,2014-04-22,32,0,0,0,0,22,0,NA
33,2014-04-23,33,0,0,0,0,22,0,NA
34,2014-04-24,34,0,0,0,0,22,0,NA
35,2014-04-25,35,0,0,0,0,22,0,NA
36,2014-04-26,36,0,0,0,0,22,0,NA
37,2014-04-27,37,0,0,0,0,22,0,NA
38,2014-04-28,38,0,0,0,0,22,0,NA
39,2014-04-29,39,0,0,0,0,22,0,NA
40,2014-04-30,40,0,0,0,0,22,0,NA
41,2014-05-01,41,0,0,0,0,22,0,NA
42,2014-05-02,42,0,0,0,0,22,0,NA
