"Week","District","Cases","Region","ADM1"
15,"Kailahun",13,"Kailahun","Eastern"
16,"Kailahun",17,"Kailahun","Eastern"
16,"Kambia",1,"Kambia","Northern"
17,"Kailahun",18,"Kailahun","Eastern"
17,"PortLoko",2,"PortLoko","Northern"
18,"Kailahun",69,"Kailahun","Eastern"
18,"Kenema",2,"Kenema","Eastern"
19,"Kenema",19,"Kenema","Eastern"
19,"Kailahun",34,"Kailahun","Eastern"
19,"Bo",1,"Bo","Southern"
20,"Kenema",21,"Kenema","Eastern"
20,"Kailahun",31,"Kailahun","Eastern"
20,"WesternUrban",1,"WesternUrban","Western"
20,"Kono",2,"Kono","Eastern"
21,"Kenema",24,"Kenema","Eastern"
21,"Kailahun",48,"Kailahun","Eastern"
21,"Bo",5,"Bo","Southern"
21,"Kono",3,"Kono","Eastern"
21,"PortLoko",1,"PortLoko","Northern"
21,"Moyamba",1,"Moyamba","Southern"
21,"WesternUrban",1,"WesternUrban","Western"
22,"Kenema",26,"Kenema","Eastern"
22,"Kailahun",53,"Kailahun","Eastern"
22,"Bo",1,"Bo","Southern"
22,"PortLoko",1,"PortLoko","Northern"
22,"WesternUrban",2,"WesternUrban","Western"
22,"Kono",1,"Kono","Eastern"
22,"Bonthe",1,"Bonthe","Southern"
23,"Kenema",28,"Kenema","Eastern"
23,"Kailahun",7,"Kailahun","Eastern"
23,"Bo",6,"Bo","Southern"
23,"Kono",1,"Kono","Eastern"
23,"PortLoko",1,"PortLoko","Northern"
23,"WesternUrban",2,"WesternUrban","Western"
23,"Moyamba",1,"Moyamba","Southern"
24,"Kenema",42,"Kenema","Eastern"
24,"Kailahun",26,"Kailahun","Eastern"
24,"Bombali",2,"Bombali","Northern"
24,"Bo",4,"Bo","Southern"
24,"WesternRural",1,"WesternRural","Western"
24,"PortLoko",4,"PortLoko","Northern"
24,"Tonkolili",1,"Tonkolili","Northern"
24,"Kono",1,"Kono","Eastern"
25,"Kenema",44,"Kenema","Eastern"
25,"Bo",11,"Bo","Southern"
25,"PortLoko",9,"PortLoko","Northern"
25,"Moyamba",3,"Moyamba","Southern"
25,"Kailahun",3,"Kailahun","Eastern"
25,"Pujehun",3,"Pujehun","Southern"
25,"Bombali",1,"Bombali","Northern"
25,"WesternUrban",2,"WesternUrban","Western"
26,"Kenema",50,"Kenema","Eastern"
26,"Moyamba",2,"Moyamba","Southern"
26,"WesternRural",2,"WesternRural","Western"
26,"WesternUrban",4,"WesternUrban","Western"
26,"Kailahun",3,"Kailahun","Eastern"
26,"PortLoko",4,"PortLoko","Northern"
26,"Bo",5,"Bo","Southern"
26,"Bombali",4,"Bombali","Northern"
26,"Tonkolili",1,"Tonkolili","Northern"
27,"Kenema",17,"Kenema","Eastern"
27,"PortLoko",5,"PortLoko","Northern"
27,"WesternRural",4,"WesternRural","Western"
27,"Tonkolili",1,"Tonkolili","Northern"
27,"Moyamba",1,"Moyamba","Southern"
27,"Bo",3,"Bo","Southern"
27,"WesternUrban",1,"WesternUrban","Western"
28,"PortLoko",15,"PortLoko","Northern"
28,"WesternUrban",8,"WesternUrban","Western"
28,"Bombali",15,"Bombali","Northern"
28,"Kenema",27,"Kenema","Eastern"
28,"Bo",4,"Bo","Southern"
