"Rep","TruePeak","Cases","TreeSize","TrueGamma","TruePhi","TruePsi","GammaMean","PhiMean","PsiMean","RunTime"
2,3271,1250,65,0.126326371,0.018759839,0.000967444,0.17709184199961,0.0254912501991589,0.00125325827565354,10.1801684708333
4,461,456,28,0.266566352,0.031780282,0.001947244,0.249712319343649,0.026221870510762,0.00121553740631714,6.90376634791667
5,4107,714,71,0.097311041,0.007642306,0.000758799,0.156203472584254,0.0134316765666781,0.00119287291984448,10.76710965625
7,2675,2076,93,0.11897776,0.037170151,0.001671458,0.238704036160831,0.0349948621773022,0.00153180634729384,13.07626655555
11,2748,1097,22,0.135716632,0.017518048,0.00034649,0.18947605105016,0.0231832483956538,0.000631707516774743,8.43037241945
13,2326,453,27,0.171892414,0.009194553,0.000542292,0.16374358775495,0.0164830185793931,0.000916372633358176,7.05985676388333
14,2904,1401,38,0.136257644,0.023786738,0.000649044,0.194905402237951,0.0247623389103713,0.000778740524344749,10.6403647423667
15,1249,771,43,0.221448955,0.023509855,0.00129882,0.243321452156133,0.0244409796434523,0.00114060143129057,8.15821532708333
17,699,266,14,0.222799595,0.010336318,0.000546618,0.170108744188478,0.019309265443163,0.00104477770607176,5.7834708889
19,1118,548,49,0.2474556,0.02242297,0.002007972,0.203788611375637,0.0228226634828099,0.00160065291439582,7.20646730555
25,4321,968,14,0.092216832,0.009749583,0.00013871,0.205719139785507,0.03162591498697,0.000696566809304339,6.75205651875
26,3684,1731,54,0.100755824,0.021408648,0.000669424,0.249529798842374,0.0236076625162449,0.000778488452867286,12.0708575763833
30,1355,1239,24,0.21932328,0.041654973,0.000815597,0.209812673223089,0.0371416846657074,0.000777947546867577,18.3689430111167
31,2322,609,24,0.199302428,0.015503432,0.000602705,0.241468230799684,0.0190197144475445,0.000783975471314629,15.2510808257
32,1519,612,37,0.225911627,0.018312269,0.001115404,0.18198567211686,0.0198978371715547,0.00109798965686044,7.14776734235
33,998,352,16,0.25530929,0.01513946,0.000684178,0.198001059108047,0.0192605208450353,0.000787936181428432,5.02457858333333
34,5872,897,42,0.057450801,0.005910462,0.000274183,0.131120322926323,0.0179924716575522,0.000865145093842315,8.0383973757
35,2361,679,38,0.163155077,0.01440996,0.000808263,0.180168652851194,0.0195286646376662,0.00106678794129664,7.64650804236667
