"Approach","Scenario","Parameter","Mean","HPD Interval","Rhat","ESS"
"Baseline","Epi","gamma",0.19524,"0.14171,0.25814",1.0052,348
"Baseline","Epi","phi",0.02733,"0.00786,0.05708",1.0164,117
"Baseline","Epi","initialBeta",0.54438,"0.23933,0.78805",1.0114,166
"Baseline","Epi","betaJitter",0.05382,"0.02782,0.08626",1.0121,157
"Baseline","Phylo","gamma",0.15828,"0.08686,0.23889",1.0043,412
"Baseline","Phylo","psi",0.00124,"0.00053,0.00195",1.0068,269
"Baseline","Phylo","initialBeta",0.50682,"0.27405,0.77578",1.0045,395
"Baseline","Phylo","betaJitter",0.04748,"0.02214,0.07396",1.0087,213
"Baseline","Combined","gamma",0.20745,"0.14096,0.27659",1.0047,373
"Baseline","Combined","psi",0.00121,"0.00065,0.00174",1.0082,226
"Baseline","Combined","phi",0.02515,"0.01436,0.03509",1.0074,249
"Baseline","Combined","initialBeta",0.53872,"0.30854,0.78423",1.0061,299
"Baseline","Combined","betaJitter",0.04622,"0.02369,0.07328",1.0103,182
"Sampling","Epi","gamma",0.18568,"0.14319,0.24034",1.0006,1680
"Sampling","Epi","phi_distribs_0",0.00531,"0.00251,0.00824",1.0038,462
"Sampling","Epi","phi_distribs_1",0.04391,"0.01763,0.07045",1.0041,427
"Sampling","Epi","initialBeta",0.56449,"0.32495,0.78641",1.0019,802
"Sampling","Epi","betaJitter",0.04619,"0.03151,0.06175",1.0007,1564
"Sampling","Phylo","gamma",0.18351,"0.12751,0.24955",1.0036,483
"Sampling","Phylo","psi_distribs_0",0.00026,"0.00017,0.00035",1.0032,533
"Sampling","Phylo","psi_distribs_1",0.00237,"0.00138,0.00321",1.0042,423
"Sampling","Phylo","initialBeta",0.54088,"0.28741,0.76448",1.0054,337
"Sampling","Phylo","betaJitter",0.0478,"0.03083,0.06448",1.0037,466
"Sampling","Combined","gamma",0.19003,"0.14037,0.24579",1.0024,667
"Sampling","Combined","psi_distribs_0",0.00025,"0.00017,0.00035",1.0039,442
"Sampling","Combined","psi_distribs_1",0.00238,"0.00155,0.00324",1.0043,411
"Sampling","Combined","phi_distribs_0",0.00523,"0.0032,0.00731",1.0032,526
"Sampling","Combined","phi_distribs_1",0.04794,"0.03018,0.06656",1.0045,392
"Sampling","Combined","initialBeta",0.51766,"0.29105,0.76368",1.0065,282
"Sampling","Combined","betaJitter",0.04585,"0.03182,0.06045",1.0024,663
"Transmission","Epi","gamma",0.17616,"0.11957,0.24332",1.0203,95
"Transmission","Epi","phi",0.02644,"0.01682,0.04239",1.0203,95
"Transmission","Epi","initialBeta",0.54884,"0.22736,0.79871",1.0205,94
"Transmission","Epi","betaJitter",0.03473,"0.02447,0.04848",1.02,96
"Transmission","Epi","betaRefactor_changetime_0",100.14911,"63,145",1.0204,94
"Transmission","Epi","betaRefactor_distribs_1",2.53331,"1.91128,3.6771",1.0194,99
"Transmission","Phylo","gamma",0.13929,"0.1053,0.18124",1.0076,244
"Transmission","Phylo","psi",0.001,"0.00054,0.00142",1.013,146
"Transmission","Phylo","initialBeta",0.40618,"0.20838,0.58222",1.0138,138
"Transmission","Phylo","betaJitter",0.04124,"0.03133,0.04971",1.007,264
"Transmission","Phylo","betaRefactor_changetime_0",103.22589,"62,144",1.0172,112
"Transmission","Phylo","betaRefactor_distribs_1",2.48228,"1.50231,3.74092",1.0158,121
"Transmission","Combined","gamma",0.14423,"0.1029,0.18578",1.009,208
"Transmission","Combined","psi",0.00103,"0.00067,0.00132",1.0106,177
"Transmission","Combined","phi",0.02282,"0.01619,0.03032",1.0111,170
"Transmission","Combined","initialBeta",0.40759,"0.20627,0.64252",1.0158,121
"Transmission","Combined","betaJitter",0.04816,"0.0317,0.06839",1.0121,157
"Transmission","Combined","betaRefactor_changetime_0",97.62223,"51,141",1.016,120
"Transmission","Combined","betaRefactor_distribs_1",2.33695,"1.5382,3.80464",1.0166,115
"Low Transmission Noise","Epi","gamma",0.13796,"0.08705,0.32376",1.0114,166
"Low Transmission Noise","Epi","phi",0.02455,"0.00595,0.04352",1.0152,126
"Low Transmission Noise","Epi","initialBeta",0.47774,"0.31731,0.72124",1.0101,186
"Low Transmission Noise","Epi","betaJitter",0.03571,"0.01859,0.05334",1.0095,198
"Low Transmission Noise","Phylo","gamma",0.1198,"0.07879,0.15784",1.004,442
"Low Transmission Noise","Phylo","psi",0.00129,"0.00083,0.00185",1.0051,350
"Low Transmission Noise","Phylo","initialBeta",0.44586,"0.24675,0.66775",1.005,358
"Low Transmission Noise","Phylo","betaJitter",0.04397,"0.0226,0.07157",1.007,264
"Low Transmission Noise","Combined","gamma",0.1156,"0.08811,0.16446",1.0074,251
"Low Transmission Noise","Combined","psi",0.00128,"9e-04,0.00173",1.0064,285
"Low Transmission Noise","Combined","phi",0.02583,"0.01899,0.03326",1.0062,295
"Low Transmission Noise","Combined","initialBeta",0.42325,"0.20742,0.56031",1.0084,223
"Low Transmission Noise","Combined","betaJitter",0.03279,"0.01901,0.0474",1.0064,287
"Medium Transmission Noise","Epi","gamma",0.13736,"0.06358,0.2874",1.0197,98
"Medium Transmission Noise","Epi","phi",0.02871,"0.01624,0.0461",1.0164,117
"Medium Transmission Noise","Epi","initialBeta",0.38839,"0.23363,0.60824",1.018,107
"Medium Transmission Noise","Epi","betaJitter",0.03141,"0.02182,0.04599",1.0149,128
"Medium Transmission Noise","Phylo","gamma",0.07883,"0.0417,0.12161",1.0158,121
"Medium Transmission Noise","Phylo","psi",0.00191,"0.00114,0.00281",1.0134,142
"Medium Transmission Noise","Phylo","initialBeta",0.31367,"0.20134,0.46008",1.0113,168
"Medium Transmission Noise","Phylo","betaJitter",0.02502,"0.01504,0.03982",1.0117,162
"Medium Transmission Noise","Combined","gamma",0.21349,"0.12967,0.31175",1.0203,95
"Medium Transmission Noise","Combined","psi",0.00131,"0.00062,0.00182",1.0204,95
"Medium Transmission Noise","Combined","phi",0.02001,"0.01131,0.02498",1.02,96
