"TrueBeta","TrueGamma","TruePsi","ModelBeta","ModelGamma","ModelPsi","BDSkyDensity"
0.19,0.12,0.03,0.0475,0.12,0.03,-711.308805526059
0.19,0.12,0.03,0.0533163265306122,0.12,0.03,-697.229579255365
0.19,0.12,0.03,0.0591326530612245,0.12,0.03,-684.514574339257
0.19,0.12,0.03,0.0649489795918367,0.12,0.03,-672.947954857675
0.19,0.12,0.03,0.070765306122449,0.12,0.03,-662.370981984433
0.19,0.12,0.03,0.0765816326530612,0.12,0.03,-652.663719377733
0.19,0.12,0.03,0.0823979591836735,0.12,0.03,-643.733421658239
0.19,0.12,0.03,0.0882142857142857,0.12,0.03,-635.50686705532
0.19,0.12,0.03,0.094030612244898,0.12,0.03,-627.925125080855
0.19,0.12,0.03,0.0998469387755102,0.12,0.03,-620.939887088734
0.19,0.12,0.03,0.105663265306122,0.12,0.03,-614.510834781531
0.19,0.12,0.03,0.111479591836735,0.12,0.03,-608.603719233537
0.19,0.12,0.03,0.117295918367347,0.12,0.03,-603.188939492917
0.19,0.12,0.03,0.123112244897959,0.12,0.03,-598.240480711791
0.19,0.12,0.03,0.128928571428571,0.12,0.03,-593.735116101608
0.19,0.12,0.03,0.134744897959184,0.12,0.03,-589.651805489701
0.19,0.12,0.03,0.140561224489796,0.12,0.03,-585.971242023149
0.19,0.12,0.03,0.146377551020408,0.12,0.03,-582.675511280634
0.19,0.12,0.03,0.15219387755102,0.12,0.03,-579.747835919268
0.19,0.12,0.03,0.158010204081633,0.12,0.03,-577.172385353872
0.19,0.12,0.03,0.163826530612245,0.12,0.03,-574.934134677414
0.19,0.12,0.03,0.169642857142857,0.12,0.03,-573.01876060455
0.19,0.12,0.03,0.175459183673469,0.12,0.03,-571.412564984579
0.19,0.12,0.03,0.181275510204082,0.12,0.03,-570.10241859683
0.19,0.12,0.03,0.187091836734694,0.12,0.03,-569.075719651216
0.19,0.12,0.03,0.192908163265306,0.12,0.03,-568.320362766791
0.19,0.12,0.03,0.198724489795918,0.12,0.03,-567.824715263247
0.19,0.12,0.03,0.204540816326531,0.12,0.03,-567.577598429706
0.19,0.12,0.03,0.210357142857143,0.12,0.03,-567.568272076207
0.19,0.12,0.03,0.216173469387755,0.12,0.03,-567.786421162798
0.19,0.12,0.03,0.221989795918367,0.12,0.03,-568.22214366972
0.19,0.12,0.03,0.22780612244898,0.12,0.03,-568.865939145331
0.19,0.12,0.03,0.233622448979592,0.12,0.03,-569.708697567447
0.19,0.12,0.03,0.239438775510204,0.12,0.03,-570.74168829585
0.19,0.12,0.03,0.245255102040816,0.12,0.03,-571.956548992973
0.19,0.12,0.03,0.251071428571429,0.12,0.03,-573.345274457106
0.19,0.12,0.03,0.256887755102041,0.12,0.03,-574.900205356685
0.19,0.12,0.03,0.262704081632653,0.12,0.03,-576.614016881833
0.19,0.12,0.03,0.268520408163265,0.12,0.03,-578.479707345364
0.19,0.12,0.03,0.274336734693878,0.12,0.03,-580.490586773611
0.19,0.12,0.03,0.28015306122449,0.12,0.03,-582.640265530338
0.19,0.12,0.03,0.285969387755102,0.12,0.03,-584.922643016595
0.19,0.12,0.03,0.291785714285714,0.12,0.03,-587.33189648696
0.19,0.12,0.03,0.297602040816327,0.12,0.03,-589.862470019052
0.19,0.12,0.03,0.303418367346939,0.12,0.03,-592.509063669152
0.19,0.12,0.03,0.309234693877551,0.12,0.03,-595.266622842519
0.19,0.12,0.03,0.315051020408163,0.12,0.03,-598.130327902862
0.19,0.12,0.03,0.320867346938775,0.12,0.03,-601.09558404143
0.19,0.12,0.03,0.326683673469388,0.12,0.03,-604.158011422548
0.19,0.12,0.03,0.3325,0.12,0.03,-607.31343561898
0.23,0.08,0.03,0.23,0.02,0.03,-514.218342646851
0.23,0.08,0.03,0.23,0.0224489795918367,0.03,-513.778068242994
0.23,0.08,0.03,0.23,0.0248979591836735,0.03,-513.356375101141
0.23,0.08,0.03,0.23,0.0273469387755102,0.03,-512.95336854406
0.23,0.08,0.03,0.23,0.0297959183673469,0.03,-512.569152205543
0.23,0.08,0.03,0.23,0.0322448979591837,0.03,-512.203827948263
0.23,0.08,0.03,0.23,0.0346938775510204,0.03,-511.857495780423
0.23,0.08,0.03,0.23,0.0371428571428571,0.03,-511.530253771266
0.23,0.08,0.03,0.23,0.0395918367346939,0.03,-511.222197965545
0.23,0.08,0.03,0.23,0.0420408163265306,0.03,-510.933422297007
0.23,0.08,0.03,0.23,0.0444897959183674,0.03,-510.664018501027
0.23,0.08,0.03,0.23,0.0469387755102041,0.03,-510.414076026459
0.23,0.08,0.03,0.23,0.0493877551020408,0.03,-510.183681946824
0.23,0.08,0.03,0.23,0.0518367346938776,0.03,-509.972920870944
0.23,0.08,0.03,0.23,0.0542857142857143,0.03,-509.781874853141
0.23,0.08,0.03,0.23,0.056734693877551,0.03,-509.61062330313
0.23,0.08,0.03,0.23,0.0591836734693878,0.03,-509.459242895725
0.23,0.08,0.03,0.23,0.0616326530612245,0.03,-509.327807480496
0.23,0.08,0.03,0.23,0.0640816326530612,0.03,-509.216387991537
0.23,0.08,0.03,0.23,0.066530612244898,0.03,-509.125052357458
0.23,0.08,0.03,0.23,0.0689795918367347,0.03,-509.053865411788
0.23,0.08,0.03,0.23,0.0714285714285714,0.03,-509.002888803922
0.23,0.08,0.03,0.23,0.0738775510204082,0.03,-508.972180910784
0.23,0.08,0.03,0.23,0.0763265306122449,0.03,-508.961796749379
0.23,0.08,0.03,0.23,0.0787755102040816,0.03,-508.97178789039
0.23,0.08,0.03,0.23,0.0812244897959184,0.03,-509.002202373007
0.23,0.08,0.03,0.23,0.0836734693877551,0.03,-509.05308462117
0.23,0.08,0.03,0.23,0.0861224489795918,0.03,-509.1244753614
0.23,0.08,0.03,0.23,0.0885714285714286,0.03,-509.216411542408
0.23,0.08,0.03,0.23,0.0910204081632653,0.03,-509.328926256672
0.23,0.08,0.03,0.23,0.093469387755102,0.03,-509.462048664175
0.23,0.08,0.03,0.23,0.0959183673469388,0.03,-509.615803918495
0.23,0.08,0.03,0.23,0.0983673469387755,0.03,-509.790213095435
0.23,0.08,0.03,0.23,0.100816326530612,0.03,-509.985293124402
0.23,0.08,0.03,0.23,0.103265306122449,0.03,-510.201056722724
0.23,0.08,0.03,0.23,0.105714285714286,0.03,-510.437512333096
0.23,0.08,0.03,0.23,0.108163265306122,0.03,-510.694664064361
0.23,0.08,0.03,0.23,0.110612244897959,0.03,-510.972511635806
0.23,0.08,0.03,0.23,0.113061224489796,0.03,-511.27105032518
0.23,0.08,0.03,0.23,0.115510204081633,0.03,-511.590270920609
0.23,0.08,0.03,0.23,0.117959183673469,0.03,-511.930159676609
0.23,0.08,0.03,0.23,0.120408163265306,0.03,-512.290698274353
0.23,0.08,0.03,0.23,0.122857142857143,0.03,-512.671863786406
0.23,0.08,0.03,0.23,0.12530612244898,0.03,-513.073628646061
0.23,0.08,0.03,0.23,0.127755102040816,0.03,-513.495960621466
0.23,0.08,0.03,0.23,0.130204081632653,0.03,-513.938822794692
0.23,0.08,0.03,0.23,0.13265306122449,0.03,-514.402173545885
0.23,0.08,0.03,0.23,0.135102040816327,0.03,-514.885966542654
0.23,0.08,0.03,0.23,0.137551020408163,0.03,-515.39015073481
