"TrueBeta","TrueGamma","TruePsi","ModelBeta","ModelGamma","ModelPsi","AvgLikelihood"
0.19,0.12,0.03,0.0475,0.12,0.03,-743.8848
0.19,0.12,0.03,0.0533,0.12,0.03,-732.24
0.19,0.12,0.03,0.0591,0.12,0.03,-721.0171
0.19,0.12,0.03,0.0649,0.12,0.03,-710.1254
0.19,0.12,0.03,0.0708,0.12,0.03,-699.4831
0.19,0.12,0.03,0.0766,0.12,0.03,-689.9622
0.19,0.12,0.03,0.0824,0.12,0.03,-680.3639
0.19,0.12,0.03,0.0882,0.12,0.03,-672.3961
0.19,0.12,0.03,0.094,0.12,0.03,-664.6564
0.19,0.12,0.03,0.0998,0.12,0.03,-656.4267
0.19,0.12,0.03,0.1057,0.12,0.03,-649.444
0.19,0.12,0.03,0.1115,0.12,0.03,-641.3171
0.19,0.12,0.03,0.1173,0.12,0.03,-633.0617
0.19,0.12,0.03,0.1231,0.12,0.03,-625.4151
0.19,0.12,0.03,0.1289,0.12,0.03,-617.6972
0.19,0.12,0.03,0.1347,0.12,0.03,-610.0881
0.19,0.12,0.03,0.1406,0.12,0.03,-600.7672
0.19,0.12,0.03,0.1464,0.12,0.03,-592.5583
0.19,0.12,0.03,0.1522,0.12,0.03,-584.6675
0.19,0.12,0.03,0.158,0.12,0.03,-579.9812
0.19,0.12,0.03,0.1638,0.12,0.03,-575.792
0.19,0.12,0.03,0.1696,0.12,0.03,-572.66
0.19,0.12,0.03,0.1755,0.12,0.03,-570.1918
0.19,0.12,0.03,0.1813,0.12,0.03,-568.536
0.19,0.12,0.03,0.1871,0.12,0.03,-567.4078
0.19,0.12,0.03,0.1929,0.12,0.03,-566.7869
0.19,0.12,0.03,0.1987,0.12,0.03,-566.6413
0.19,0.12,0.03,0.2045,0.12,0.03,-566.4804
0.19,0.12,0.03,0.2104,0.12,0.03,-566.7098
0.19,0.12,0.03,0.2162,0.12,0.03,-567.2618
0.19,0.12,0.03,0.222,0.12,0.03,-567.9439
0.19,0.12,0.03,0.2278,0.12,0.03,-568.6995
0.19,0.12,0.03,0.2336,0.12,0.03,-569.8297
0.19,0.12,0.03,0.2394,0.12,0.03,-571.2539
0.19,0.12,0.03,0.2453,0.12,0.03,-572.915
0.19,0.12,0.03,0.2511,0.12,0.03,-574.464
0.19,0.12,0.03,0.2569,0.12,0.03,-576.5882
0.19,0.12,0.03,0.2627,0.12,0.03,-578.9279
0.19,0.12,0.03,0.2685,0.12,0.03,-581.4426
0.19,0.12,0.03,0.2743,0.12,0.03,-583.9775
0.19,0.12,0.03,0.2802,0.12,0.03,-587.5859
0.19,0.12,0.03,0.286,0.12,0.03,-590.8289
0.19,0.12,0.03,0.2918,0.12,0.03,-596.0798
0.19,0.12,0.03,0.2976,0.12,0.03,-606.3063
0.19,0.12,0.03,0.3034,0.12,0.03,-631.3679
0.19,0.12,0.03,0.3092,0.12,0.03,-659.9127
