"","TrueBeta","TrueGamma","TruePsi","ModelBeta","ModelGamma","ModelPsi","BDSkyDensity","AvgLikelihood","VaryingParam"
"1",0.19,0.12,0.03,0.0475,0.12,0.03,-711.3088,-743.8848,"Beta"
"2",0.19,0.12,0.03,0.0533,0.12,0.03,-697.2296,-732.24,"Beta"
"3",0.19,0.12,0.03,0.0591,0.12,0.03,-684.5146,-721.0171,"Beta"
"4",0.19,0.12,0.03,0.0649,0.12,0.03,-672.948,-710.1254,"Beta"
"5",0.19,0.12,0.03,0.0708,0.12,0.03,-662.371,-699.4831,"Beta"
"6",0.19,0.12,0.03,0.0766,0.12,0.03,-652.6637,-689.9622,"Beta"
"7",0.19,0.12,0.03,0.0824,0.12,0.03,-643.7334,-680.3639,"Beta"
"8",0.19,0.12,0.03,0.0882,0.12,0.03,-635.5069,-672.3961,"Beta"
"9",0.19,0.12,0.03,0.094,0.12,0.03,-627.9251,-664.6564,"Beta"
"10",0.19,0.12,0.03,0.0998,0.12,0.03,-620.9399,-656.4267,"Beta"
"11",0.19,0.12,0.03,0.1057,0.12,0.03,-614.5108,-649.444,"Beta"
"12",0.19,0.12,0.03,0.1115,0.12,0.03,-608.6037,-641.3171,"Beta"
"13",0.19,0.12,0.03,0.1173,0.12,0.03,-603.1889,-633.0617,"Beta"
"14",0.19,0.12,0.03,0.1231,0.12,0.03,-598.2405,-625.4151,"Beta"
"15",0.19,0.12,0.03,0.1289,0.12,0.03,-593.7351,-617.6972,"Beta"
"16",0.19,0.12,0.03,0.1347,0.12,0.03,-589.6518,-610.0881,"Beta"
"17",0.19,0.12,0.03,0.1406,0.12,0.03,-585.9712,-600.7672,"Beta"
"18",0.19,0.12,0.03,0.1464,0.12,0.03,-582.6755,-592.5583,"Beta"
"19",0.19,0.12,0.03,0.1522,0.12,0.03,-579.7478,-584.6675,"Beta"
"20",0.19,0.12,0.03,0.158,0.12,0.03,-577.1724,-579.9812,"Beta"
"21",0.19,0.12,0.03,0.1638,0.12,0.03,-574.9341,-575.792,"Beta"
"22",0.19,0.12,0.03,0.1696,0.12,0.03,-573.0188,-572.66,"Beta"
"23",0.19,0.12,0.03,0.1755,0.12,0.03,-571.4126,-570.1918,"Beta"
"24",0.19,0.12,0.03,0.1813,0.12,0.03,-570.1024,-568.536,"Beta"
"25",0.19,0.12,0.03,0.1871,0.12,0.03,-569.0757,-567.4078,"Beta"
