"Rep","Gamma_ESS","Psi_ESS","Phi_ESS","InitialBeta_ESS","RunTime"
1,10.3190428355271,8.84489385902326,11.2035322214295,8.55006406372248,3.3917874514
2,3.43805705183334,3.04513624590953,2.94690604442858,3.33982685035239,10.1801684708333
3,3.26233933457205,2.33024238183718,2.42345207711067,2.98271024875159,10.7284976854167
4,6.22848425526104,4.77999954473522,5.21454495789297,4.34545413157747,6.90376634791667
5,3.90076829723938,2.69338763380814,2.41476132686247,2.69338763380814,10.76710965625
6,3.2418201169175,3.3714929215942,3.3714929215942,3.890184140301,7.7117172139
7,2.52365611084868,2.82955382125458,2.75307939365311,2.14128397284131,13.07626655555
8,2.01249281759949,2.38517667271051,1.86341927555508,1.86341927555508,13.4161969493167
9,2.99046294862383,3.2040674449541,2.77685845229356,3.2040674449541,9.36309878471667
10,1.73259658207619,1.73259658207619,1.73259658207619,1.73259658207619,13.2748732382
11,4.15165526012235,2.96546804294454,3.43994292981566,3.32132420809788,8.43037241945
12,0.957058378958304,0.957058378958304,0.957058378958304,0.957058378958304,24.0319718270833
13,4.81596173082951,3.54114833149229,3.54114833149229,3.82444019801167,7.05985676388333
14,3.38334266462305,3.00741570188716,2.72547047983524,4.22917833077881,10.6403647423667
15,3.79985067286559,3.67727484470864,3.67727484470864,3.43212318839473,8.15821532708333
16,1.98616452351081,1.5376757601374,1.47360593679834,1.5376757601374,15.6079718638833
17,7.60788821198142,6.05172925953067,4.84138340762454,11.7576454185167,5.7834708889
18,1.74968600252009,2.18710750315011,1.87466357412867,1.6871972167158,16.0028713493
19,4.57922010894094,5.6893340747448,4.57922010894094,4.71798435466642,7.20646730555
20,1.21852595745047,1.21852595745047,1.27150534690484,1.32448473635921,18.8752647076333
21,1.15279387794289,1.19548994749633,1.15279387794289,1.11009780838945,23.4213596347167
22,1.58711955921575,1.41707103501406,1.3603881936135,1.41707103501406,17.6420231465333
23,1.41859858452196,1.36793434936046,1.62125552516795,1.51992705484495,19.7377893263833
24,2.17643942162687,2.3578093734291,4.17150889145149,2.53917932523134,11.0271849340333
25,5.18360589885576,3.70257564203983,3.85067866772142,4.59119379612939,6.75205651875
26,2.31963634918385,2.65101297049582,2.40248050451184,2.48532465983983,12.0708575763833
27,1.28035996956653,0.80864840183149,0.774954718421845,0.80864840183149,29.67915344375
28,0.587070644190306,0.503203409305976,0.503203409305976,0.524170218027059,47.6944304354
29,0.459500969047501,0.440355095337189,0.440355095337189,0.478646842757814,52.2305753777833
30,1.74207084101867,2.1231488374915,2.39534740640067,1.52431198589133,18.3689430111167
31,3.14731792117408,1.70479720730263,2.03264282409159,2.09821194744939,15.2510808257
32,4.19711478607483,3.77740330746735,3.77740330746735,4.19711478607483,7.14776734235
33,6.16967164228018,5.77162831052017,6.16967164228018,7.56282330344022,5.02457858333333
34,4.47850464681277,3.6076842988214,3.35887848510957,3.6076842988214,8.0383973757
35,7.19282575722983,4.18491680420645,4.05413815407499,3.66180220368064,7.64650804236667
36,1.86685515025194,1.55571262520995,1.43125561519316,1.49348412020155,16.0698059493
37,1.33282614841393,1.38408869258369,1.28156360424416,1.23030106007439,19.5074204020833
38,3.04669746294586,2.85627887151174,2.85627887151174,3.33232535009703,10.5031761076333
39,2.76064405982594,2.28739079242721,2.20851524786075,2.28739079242721,12.6782008986
40,2.13910670678588,3.25144219431454,2.05354243851445,2.48136377987162,11.6871215076333
41,6.5189038523238,6.2774629689044,6.5189038523238,7.0017856191626,4.14180061735
42,4.56990175604144,3.73901052767027,3.32356491348468,3.46204678487988,7.22116180208333
43,5.07780349080032,4.66608969424894,3.97990003332998,4.66608969424894,7.28661518056667
44,1.44504894900606,1.10787086090465,1.10787086090465,1.10787086090465,20.7605424166667
45,6.16465888513221,5.51574742353935,8.43584900070723,6.65134248132686,6.16416913053333
46,3.82212654444332,3.18510545370277,3.43991388999899,3.82212654444332,7.84903368613333
47,6.56696641960144,5.44120074766977,5.62882835965838,5.81645597164699,5.32970595
48,8.3075524348475,5.79961207715769,5.9563583495133,6.26985089422453,6.37973704236667
49,2.47606099198235,1.95478499367027,1.69414699451424,1.75930649430325,15.3469563645833
50,3.07655900166399,2.10964045828388,2.28544382980753,2.37334551556936,11.3763461
51,4.1513116627719,2.73609177773602,3.3965277240861,4.05696367043617,10.5990596645833
52,3.67827174176205,3.52501041918863,3.67827174176205,4.75110099977598,6.52480340903333
53,5.36950576755993,4.10609264578112,4.10609264578112,4.89572584689288,6.33205391181667
54,1.84668956757677,2.65923297731055,2.43763022920134,2.65923297731055,13.5377382527833
55,5.14901421112874,4.47151234124338,4.8780134631746,5.42001495908289,7.38005343195
56,6.73886406689391,4.67594649539578,5.77616920019478,4.40089081919602,7.27125514235
57,3.5923923468808,2.74712355937944,2.95844075625478,4.22634393750683,9.46444505971667
58,4.15152337005106,3.57889945694057,3.57889945694057,4.15152337005106,6.98538763125
59,6.18802460223947,4.03566821885183,4.43923504073701,4.57375731469874,7.43371317291667
60,5.30735022657727,6.44463956084383,8.52967000699918,6.63418778322159,5.2757023382
61,6.1589030919361,5.24647300424186,7.52754822347745,6.61511813578322,4.38389752151667
62,6.2107355224577,3.9225698036575,4.24945062062895,3.9225698036575,6.1184379632
63,1.97978596511955,2.51280526342097,3.19811578980851,2.05593157916261,13.1327327590333
64,2.22246026184453,2.31135867231831,2.31135867231831,2.22246026184453,11.2487950534833
65,1.13475294241568,1.70212941362352,1.3238784328183,1.13475294241568,21.1499782048667
66,1.40703543634618,1.07379020142208,1.25892644304658,0.925681208122487,27.00713785765
