"","Rep","True_Beta","Mean_Beta","Lower95_Beta","Upper95_Beta"
"33958",496,0.0328049483898633,0.064646293557408,0.000552846465553584,0.143201902983834
"14106",207,0.0966797300766794,0.225122724217623,0.135770537618317,0.303638009260613
"13189",192,0.132837503775639,0.0859904164094724,0.00139643216984645,0.183820392671928
"18711",280,0.184964711051112,0.20401478504806,0.106420838773998,0.296777789565618
"1013",25,0.00587974077755756,0.107405692701966,0.00238338412678277,0.189130642181254
"1636",35,0.0492192976878335,0.107321153377284,0.00322996721029722,0.217785338802469
"44313",646,0.040603260561004,0.0953401857588916,0.000147153430277021,0.203900493820727
"34541",505,0.234596846251815,0.291738751178274,0.181496839623413,0.380250499810577
"9945",152,0.205154840733248,0.163489617296217,0.0759931922350343,0.275563959611221
"1372",33,0.432998669706319,0.359195196614227,0.237455570848435,0.486723021475002
"15718",233,0.31746058532281,0.393711384118033,0.287274511165636,0.515701611269833
"44046",644,0.303660954121744,0.347400746705829,0.217898591801527,0.502435702170985
"36913",549,0.308811551164733,0.312418080268608,0.253562232409673,0.402017300875619
"25706",380,0.116980836456974,0.251211333476259,0.18265515519283,0.34427811039044
"22061",332,0.347994470007393,0.325747859550735,0.233831723098449,0.414666637159345
"18259",271,0.0219890673263708,0.060052468090954,0.00095129168799277,0.138287300586335
"7386",117,0.348239149050109,0.352464515608918,0.21786815676663,0.475379205273049
"23916",355,0.220880921772836,0.381542247043747,0.266810543033926,0.46448559988461
"23147",344,0.277182906573031,0.174482323535391,0.0675980527724728,0.298618198270271
"20071",302,0.180812868234264,0.283903285531805,0.214831978765774,0.359010480633444
"41948",618,0.163471400750563,0.199910726261173,0.122080892906419,0.284432089564584
"6598",105,0.0141089445157457,0.0616563589221981,6.78399494361201e-05,0.132234036992779
"42831",629,0.294540521537545,0.245017767091407,0.137953923051459,0.352457533494685
"7169",112,0.0451404623365022,0.0569115666141248,1.20203433487034e-05,0.138948508235821
"27775",404,0.0925177214913511,0.119785878869789,0.0376220559764087,0.21317299858978
"44633",650,0.304069746667874,0.356794855387506,0.268479867721362,0.44275470879003
"32977",479,0.177346620655472,0.290463023361434,0.187547326672642,0.397386287176336
"24262",361,0.287520256877907,0.327675812457395,0.210635749459319,0.510190269283993
"28000",407,0.347841831596873,0.342169351048054,0.210959957325211,0.50504693507209
"4268",79,0.0119770903735783,0.091040824597805,0.00298458761893538,0.172423852153491
"34143",499,0.232697801919087,0.218726560241513,0.136056721972326,0.309123866868249
"24299",361,0.237227332111815,0.254185559990818,0.1744921982739,0.347195682601047
"17779",265,0.0395358237451769,0.173259325483721,0.0530233876098521,0.269002891818672
"35333",518,0.0556762892854659,0.0518349328862385,0.0001273528453168,0.121600970760715
"44682",650,0.0980813676592485,0.140808030614356,0.0637059045626429,0.229616371039996
