"Rep","Acceptance","Likelihood1","Likelihood2","LikelihoodDelta","TruePeak","TrueGamma","TruePhi","TruePsi","Cases","TreeSize","PercentTrajCaptured","GammaMean","GammaLower95","GappaUpper95","PhiMean","PhiLower95","PhiUpper95","PsiMean","PsiLower95","PsiUpper95","GammaCalibration1","PhiCalibration1","PsiCalibration1","GammaCalibration2","PhiCalibration2","PsiCalibration2","RunTime","Batch"
1,0.588,-41.2122782975438,-39.997630930469,1.21464736707473,3635,0.148438503,0.001096322,7.35e-05,84,6,0.5625,0.192265291303166,0.192265291303166,0.192265291303166,0.0178097363600232,0.0178097363600232,0.0178097363600232,0.000955744747808306,0.000955744747808306,0.000955744747808306,0.421052631578947,0,0,0.368421052631579,0,0,203507247084,"1"
2,0.2685,-352.433736004581,-352.695276445206,0.26154044062514,3271,0.126326371,0.018759839,0.000967444,1250,65,0.894736842105263,0.17709184199961,0.17709184199961,0.17709184199961,0.0254912501991589,0.0254912501991589,0.0254912501991589,0.00125325827565354,0.00125325827565354,0.00125325827565354,0,0.105263157894737,0.210526315789474,0.105263157894737,0.157894736842105,0.157894736842105,610810108250,"1"
3,0.152999999999999,-357.142610948451,-353.699691502898,3.442919445553,2700,0.152368819,0.01771307,0.00115693,981,64,0.1875,0.202336950267344,0.202336950267344,0.202336950267344,0.0181606038499336,0.0181606038499336,0.0181606038499336,0.000984737865065398,0.000984737865065398,0.000984737865065398,0,0.736842105263158,0.157894736842105,0,0.947368421052631,0.473684210526316,643709861125,"1"
4,0.3695,-177.038011961872,-175.246594618821,1.79141734305054,461,0.266566352,0.031780282,0.001947244,456,28,0.83,0.249712319343649,0.249712319343649,0.249712319343649,0.026221870510762,0.026221870510762,0.026221870510762,0.00121553740631714,0.00121553740631714,0.00121553740631714,0.789473684210526,0.105263157894737,0,0.684210526315789,0.157894736842105,0,414225980875,"1"
5,0.343999999999999,-398.42996513844,-397.164001905008,1.26596323343114,4107,0.097311041,0.007642306,0.000758799,714,71,0.285714285714286,0.156203472584254,0.156203472584254,0.156203472584254,0.0134316765666781,0.0134316765666781,0.0134316765666781,0.00119287291984448,0.00119287291984448,0.00119287291984448,0,0.157894736842105,0.0526315789473684,0,0.105263157894737,0.105263157894737,646026579375,"1"
6,0.183500000000001,-145.417178079126,-146.919166669077,1.50198858995088,4281,0.105334728,0.008079923,0.000296653,694,26,0.456521739130435,0.193486307632666,0.193486307632666,0.193486307632666,0.0208614678482273,0.0208614678482273,0.0208614678482273,0.000720662893935814,0.000720662893935814,0.000720662893935814,0,0,0,0.0526315789473684,0,0,462703032834,"1"
7,0.2835,-533.588868902085,-534.643455198777,1.05458629669226,2675,0.11897776,0.037170151,0.001671458,2076,93,0.191011235955056,0.238704036160831,0.238704036160831,0.238704036160831,0.0349948621773022,0.0349948621773022,0.0349948621773022,0.00153180634729384,0.00153180634729384,0.00153180634729384,0,0.31578947368421,0.31578947368421,0,0.684210526315789,0.526315789473684,784575993333,"1"
8,0.3,-396.41390489986,-405.516475332017,9.10257043215682,2586,0.164336983,0.019906515,0.001356265,1016,69,0.465116279069767,0.19425231577435,0.19425231577435,0.19425231577435,0.0142013495938077,0.0142013495938077,0.0142013495938077,0.000997101879974411,0.000997101879974411,0.000997101879974411,0.210526315789474,0,0.0526315789473684,0.526315789473684,0.157894736842105,0.0526315789473684,804971816959,"1"
9,0.2425,-231.335626553779,-233.304467035943,1.96884048216342,3648,0.135866186,0.01005013,0.000646531,666,43,0.348837209302326,0.230922099983293,0.230922099983293,0.230922099983293,0.017654765575799,0.017654765575799,0.017654765575799,0.00101326462485554,0.00101326462485554,0.00101326462485554,0,0,0,0,0.0526315789473684,0,561785927083,"1"
10,0.0245000000000001,-197.837557306174,-375.443119779892,177.605562473717,3135,0.120716164,0.01267082,0.000450611,906,32,0.604395604395604,0.202063800156579,0.202063800156579,0.202063800156579,0.0163558780956262,0.0163558780956262,0.0163558780956262,0.000689460084856179,0.000689460084856179,0.000689460084856179,0.526315789473684,0.526315789473684,0.421052631578947,0.631578947368421,0.736842105263158,0.31578947368421,796492394292,"1"
