"Rep","Acceptance","Likelihood1","Likelihood2","LikelihoodDelta","TruePeak","TrueGamma","TruePhi","TruePsi","Cases","TreeSize","PercentTrajCaptured","GammaMean","GammaLower95","GappaUpper95","PhiMean","PhiLower95","PhiUpper95","PsiMean","PsiLower95","PsiUpper95","GammaCalibration1","PhiCalibration1","PsiCalibration1","GammaCalibration2","PhiCalibration2","PsiCalibration2","RunTime","Batch","LikelihoodDelta_Percent","Epidemic_Length"
2,0.2685,-352.433736004581,-352.695276445206,0.26154044062514,3271,0.126326371,0.018759839,0.000967444,1250,65,0.894736842105263,0.17709184199961,0.133062423905222,0.238003978150883,0.0254912501991589,0.0167139695163657,0.0343447384705327,0.00125325827565354,0.000884121108773952,0.00163759789451497,0,0.105263157894737,0.210526315789474,0.105263157894737,0.157894736842105,0.157894736842105,610810108250,1,0.000741547897270385,99
4,0.3695,-177.038011961872,-175.246594618821,1.79141734305054,461,0.266566352,0.031780282,0.001947244,456,28,0.83,0.249712319343649,0.166674648010323,0.319679454434307,0.026221870510762,0.0189832214977583,0.0344321481878865,0.00121553740631714,0.000869768675013345,0.00168953537389413,0.789473684210526,0.105263157894737,0,0.684210526315789,0.157894736842105,0,414225980875,1,0.0102222662126305,113
5,0.343999999999999,-398.42996513844,-397.164001905008,1.26596323343114,4107,0.097311041,0.007642306,0.000758799,714,71,0.285714285714286,0.156203472584254,0.115716013111228,0.205618596586134,0.0134316765666781,0.00825908591703695,0.0248710253177107,0.00119287291984448,0.000675864696509541,0.00165577494368926,0,0.157894736842105,0.0526315789473684,0,0.105263157894737,0.105263157894737,646026579375,1,0.00318750749654779,113
7,0.2835,-533.588868902085,-534.643455198777,1.05458629669226,2675,0.11897776,0.037170151,0.001671458,2076,93,0.191011235955056,0.238704036160831,0.160953083226496,0.316101894115464,0.0349948621773022,0.0263656238328793,0.0461392377488171,0.00153180634729384,0.0010867789434825,0.00200196141488892,0,0.31578947368421,0.31578947368421,0,0.684210526315789,0.526315789473684,784575993333,1,0.00197250389289845,106
11,0.394000000000001,-133.420144737796,-133.306995408689,0.113149329107415,2748,0.135716632,0.017518048,0.00034649,1097,22,0.593406593406593,0.18947605105016,0.129104989009513,0.257124496740439,0.0231832483956538,0.0146736254661556,0.0348039066974435,0.000631707516774743,0.000326870281515623,0.00104949311565892,0.105263157894737,0.894736842105263,0.105263157894737,0.105263157894737,0.368421052631579,0.210526315789474,505822345167,1,0.00084878763309101,99
13,0.256499999999998,-148.413838230036,-148.279841680121,0.133996549914457,2326,0.171892414,0.009194553,0.000542292,453,27,0.529411764705882,0.16374358775495,0.083500034722622,0.212436185098175,0.0164830185793931,0.00831605920613551,0.0231561096794031,0.000916372633358176,0.000430132611910007,0.00138519543594422,0.473684210526316,0.210526315789474,0.263157894736842,0.789473684210526,0.105263157894737,0.210526315789474,423591405833,1,0.000903673408308074,85
14,0.321,-211.672237506267,-210.682938983959,0.989298522308019,2904,0.136257644,0.023786738,0.000649044,1401,38,0.651162790697674,0.194905402237951,0.135716697097335,0.278542575863351,0.0247623389103713,0.0160509975956953,0.0349285724497096,0.000778740524344749,0.00032773967870658,0.00110227393191661,0.105263157894737,0.789473684210526,0.842105263157894,0.105263157894737,0.894736842105263,0.526315789473684,638421884542,1,0.0046956745860819,92
15,0.483,-251.129803449152,-250.097975043532,1.0318284056199,1249,0.221448955,0.023509855,0.00129882,771,43,0.610526315789474,0.243321452156133,0.155385519012618,0.337716160182822,0.0244409796434523,0.0153059853781094,0.0390688272245418,0.00114060143129057,0.000547795124958482,0.0017742278294364,0.526315789473684,0.789473684210526,0.526315789473684,0.684210526315789,0.894736842105263,0.578947368421053,489492919625,1,0.0041256967612005,106
17,0.587,-101.072385809562,-100.579610429759,0.492775379803078,699,0.222799595,0.010336318,0.000546618,266,14,0.77,0.170108744188478,0.108131579816673,0.233181604629826,0.019309265443163,0.00966979416851396,0.0267490359352136,0.00104477770607176,0.000599920517389627,0.00163846534695641,0.105263157894737,0.0526315789473684,0,0.105263157894737,0.0526315789473684,0.0526315789473684,347008253334,1,0.00489935661609283,113
19,0.4305,-274.761445703753,-274.655285391859,0.106160311893518,1118,0.2474556,0.02242297,0.002007972,548,49,0.744897959183674,0.203788611375637,0.145783271749935,0.271543627094688,0.0228226634828099,0.0150313233879856,0.0316680850126143,0.00160065291439582,0.00106621135885527,0.00207915125375239,0.157894736842105,0.789473684210526,0.0526315789473684,0.210526315789474,0.947368421052631,0.105263157894737,432388038333,1,0.000386522006092313,106
25,0.300999999999999,-90.7741348487357,-89.69949030976,1.07464453897563,4321,0.092216832,0.009749583,0.00013871,968,14,0.22680412371134,0.205719139785507,0.151741517753381,0.274341947121997,0.03162591498697,0.0184129512335506,0.0486763288059269,0.000696566809304339,0.000310238470561405,0.00111494301565014,0,0,0,0,0,0,405123391125,1,0.0119804977181537,99
26,0.357,-294.827058760133,-295.436641865781,0.609583105648028,3684,0.100755824,0.021408648,0.000669424,1731,54,0.388888888888889,0.249529798842374,0.141414435525566,0.344183331626518,0.0236076625162449,0.0150152179241306,0.0345697322917398,0.000778488452867286,0.000437202613810543,0.00108945396837696,0,0.842105263157894,0.578947368421053,0,0.684210526315789,0.578947368421053,724251454583,1,0.00206332938865778,99
30,0.417,-149.266146997124,-149.450582204812,0.184435207687272,1355,0.21932328,0.041654973,0.000815597,1239,24,1.0625,0.209812673223089,0.139768529870698,0.287894387328761,0.0371416846657074,0.0256978390164506,0.0479214682575449,0.000777947546867577,0.000532570275995596,0.00107462555415887,0.473684210526316,0.31578947368421,0.631578947368421,0.842105263157894,0.421052631578947,0.789473684210526,1102136580667,1,0.00123408825155674,99
31,0.4225,-127.346149103197,-126.331755222558,1.01439388063838,2322,0.199302428,0.015503432,0.000602705,609,24,0.861111111111111,0.241468230799684,0.170722544364478,0.311583568293447,0.0190197144475445,0.00982559352845252,0.0291611812796525,0.000783975471314629,0.000483356046025623,0.00121114968878628,0.368421052631579,0.684210526315789,0.842105263157894,0.31578947368421,0.526315789473684,0.421052631578947,915064849542,1,0.00802960331589889,78
32,0.394000000000001,-196.726848509556,-194.849154082026,1.87769442752989,1519,0.225911627,0.018312269,0.001115404,612,37,1.16867469879518,0.18198567211686,0.117820333998585,0.299052652513557,0.0198978371715547,0.0110535219997416,0.0284037932814815,0.00109798965686044,0.000577746249896539,0.00168001248955356,0.105263157894737,0.631578947368421,0.631578947368421,0.31578947368421,0.789473684210526,1,428866040541,1,0.00963665680960273,85
